,State,148,149,158,159,160,161,162,163,164,165,166,167,150,168,169,170,171,172,173,174,175,176,177,151,152,153,154,155,156,157
0,Washington,1245,45,24,24,21,23,21,22,21,21,20,22,44,21,21,22,22,21,22,22,21,21,23,42,38,36,32,31,28,25
1,Illinois,6537,98,36,34,27,26,25,23,21,20,20,17,91,17,17,16,16,14,16,14,14,13,14,86,79,71,60,53,47,39
2,California,5355,469,433,435,432,445,444,460,467,474,485,486,482,506,509,517,529,530,534,546,538,542,547,478,473,459,448,447,432,427
3,Arizona,1283,202,302,313,352,382,422,465,509,544,592,633,211,668,688,729,778,772,776,811,818,840,840,214,218,225,230,245,254,279
4,Massachusetts,7770,29,17,16,16,14,12,13,11,11,9,9,29,8,8,8,7,8,7,6,8,6,6,26,24,23,23,20,19,18
5,Wisconsin,719,42,31,31,30,30,29,29,32,31,32,32,43,30,30,32,33,30,33,34,34,34,33,39,38,37,37,34,34,32
6,Texas,2299,311,396,440,460,501,559,603,669,704,748,803,323,828,855,917,949,980,977,1013,1041,1042,1037,331,331,335,328,343,358,366
7,Nebraska,239,22,16,17,15,15,15,13,14,14,13,13,21,13,12,12,13,12,11,11,12,12,12,21,22,21,19,19,17,17
8,Utah,152,25,24,24,23,23,24,24,23,23,25,24,27,27,25,25,25,27,28,26,27,27,27,26,26,26,24,24,24,23
9,Oregon,187,29,29,31,32,35,37,40,44,49,51,52,28,55,57,62,63,64,66,68,66,69,67,28,27,26,25,25,26,27
10,Florida,3061,340,509,562,627,666,743,798,867,937,978,1051,354,1122,1149,1196,1249,1284,1314,1339,1353,1376,1395,368,380,394,409,422,442,480
11,New York,31728,156,52,47,39,38,38,35,37,35,35,34,148,34,34,37,36,36,38,38,39,40,42,135,119,105,90,74,66,59
12,Rhode Island,885,11,5,6,5,5,5,5,5,4,5,5,11,4,5,4,5,5,4,4,4,4,4,9,9,8,7,6,6,7
13,Georgia,2605,126,105,109,104,108,114,122,117,120,129,136,130,141,141,143,146,145,154,149,156,153,156,126,122,116,110,105,107,106
14,New Hampshire,331,3,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2
15,North Carolina,1188,169,151,153,154,165,171,169,180,184,196,198,168,205,206,208,217,221,216,223,225,224,225,161,157,154,150,149,147,148
16,New Jersey,14729,60,28,26,24,25,24,23,22,21,21,19,55,20,20,19,19,20,20,19,20,20,21,53,51,47,42,37,33,31
17,Colorado,1638,30,20,19,18,18,18,18,17,18,17,17,28,17,18,18,18,19,17,18,18,17,18,29,27,27,24,23,21,21
18,Maryland,3016,91,53,50,48,46,42,43,42,40,40,39,88,38,35,37,34,37,36,35,36,35,34,84,80,74,66,63,59,57
19,Nevada,475,33,35,36,39,38,39,40,42,44,45,44,32,46,48,47,47,51,48,49,50,52,50,32,34,34,33,33,34,35
20,Tennessee,508,45,48,48,52,53,57,59,61,63,69,69,47,72,78,80,75,81,81,86,81,84,82,45,45,43,46,42,45,46
21,Hawaii,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
22,Indiana,2491,61,52,52,53,55,55,58,59,61,61,62,59,65,63,64,67,65,71,72,69,74,72,58,57,55,54,52,52,55
23,Kentucky,520,36,31,31,32,31,31,32,32,31,33,32,37,35,35,32,34,33,34,35,36,35,37,35,35,34,33,34,32,31
24,Minnesota,1376,49,27,25,23,21,21,21,21,21,19,20,47,19,20,20,20,20,21,20,19,19,20,43,42,37,34,31,30,27
25,Oklahoma,366,25,49,54,59,68,77,81,94,101,108,113,28,122,128,133,141,139,141,151,151,154,150,29,30,32,33,38,40,45
26,Pennsylvania,6361,61,33,33,31,29,29,29,30,29,28,27,60,28,28,28,28,28,27,26,28,28,27,56,50,49,44,42,37,36
27,South Carolina,621,99,87,93,95,102,108,116,125,131,140,143,98,153,158,160,168,173,175,177,186,180,184,96,89,89,85,85,83,86
28,District of Columbia,527,8,5,4,4,4,4,3,3,3,3,2,7,3,2,3,2,2,2,2,2,2,2,7,6,6,6,5,5,5
29,Kansas,251,8,5,5,5,6,5,6,6,7,7,7,9,7,8,7,7,8,8,7,9,8,8,9,8,8,7,6,6,6
30,Missouri,950,24,17,17,17,16,15,17,16,16,16,18,25,18,18,18,19,18,19,19,19,18,19,24,22,22,20,20,19,18
31,Vermont,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Virginia,1586,108,73,68,65,65,63,61,59,56,58,55,100,56,56,51,55,54,57,51,58,56,57,98,95,91,86,83,81,75
33,Connecticut,4226,42,20,19,18,17,17,16,16,15,15,14,39,14,15,15,14,13,13,14,15,14,14,36,34,30,27,25,22,21
34,Iowa,680,36,29,28,28,28,27,27,27,28,28,29,32,29,28,29,27,29,28,28,28,29,29,31,30,31,30,30,28,27
35,Louisiana,3062,78,83,85,89,96,99,110,110,121,124,135,78,135,148,155,159,157,162,165,163,166,168,79,81,80,78,75,77,80
36,Ohio,2633,65,59,60,57,60,61,62,64,69,70,70,65,69,72,72,72,78,73,77,78,76,75,64,59,61,59,59,60,59
