,State,151,152,157,161,162,163,164,165,166,167,168,169,170,153,171,172,173,174,175,176,177,178,179,180,154,155,156,158,159,160
0,Washington,1270,51,12,58,61,61,64,66,71,73,74,78,82,57,78,82,86,87,88,89,94,92,96,95,55,55,56,55,57,55
1,Illinois,6647,93,17,36,34,28,27,25,24,23,22,23,21,91,19,20,19,19,19,18,18,19,18,17,83,76,69,53,48,41
2,California,5515,509,79,392,389,385,384,385,396,401,411,408,402,512,409,423,436,438,439,433,434,425,455,438,501,480,469,431,424,399
3,Arizona,1349,281,98,494,537,615,658,743,806,890,976,1011,1099,297,1155,1239,1279,1302,1338,1387,1445,1461,1475,1489,313,329,347,388,410,449
4,Massachusetts,7858,25,16,12,11,9,9,8,7,7,7,6,6,25,6,5,5,5,5,5,4,4,4,5,23,21,19,15,14,12
5,Wisconsin,744,49,9,29,30,27,27,26,25,26,26,27,26,49,27,28,28,28,28,30,27,30,28,30,46,45,42,36,34,31
6,Texas,2368,413,102,636,703,786,872,973,1106,1221,1313,1423,1544,433,1641,1703,1827,1878,1930,1988,2008,2078,2095,2087,445,448,456,510,545,568
7,Nebraska,244,21,4,13,13,11,11,10,10,9,9,9,9,21,9,8,8,8,8,7,7,7,7,7,20,19,18,15,15,13
8,Utah,158,33,11,40,42,45,45,51,53,59,61,63,67,33,73,72,80,79,79,78,81,82,84,85,34,34,35,36,37,39
9,Oregon,190,32,2,21,23,23,25,27,30,31,33,37,39,31,38,41,44,43,45,46,47,47,49,47,30,28,27,23,22,21
10,Florida,3161,468,120,614,667,727,817,873,974,1069,1161,1273,1352,495,1432,1492,1527,1627,1639,1696,1745,1760,1793,1819,504,501,501,517,533,563
11,New York,31854,150,31,122,123,121,125,131,131,129,131,136,137,147,140,140,145,145,146,149,155,149,153,156,145,139,134,126,123,122
12,Rhode Island,894,7,3,4,3,3,3,3,3,3,3,3,3,7,3,3,4,3,3,3,3,3,3,3,6,5,5,4,4,3
13,Georgia,2643,138,27,117,118,121,128,128,133,141,145,155,160,138,157,161,159,168,170,172,176,177,172,179,132,128,126,123,116,118
