,State,165,171,178,185,192,166,167,168,169,170,172,173,174,175,176,177,179,180,181,182,183,184,186,187,188,189,190,191,193,194,195
0,Washington,1359,57,61,71,81,49,50,52,54,55,60,65,69,72,75,80,89,98,105,108,118,121,138,131,142,141,147,151,154,156,155
1,Illinois,7020,199,246,326,382,63,71,76,83,90,99,111,121,128,145,160,187,207,221,252,264,286,319,326,346,362,378,381,396,395,391
2,California,6373,846,953,1130,1197,541,545,541,538,543,560,585,593,621,677,699,775,819,879,935,973,1026,1121,1126,1170,1174,1210,1221,1216,1225,1214
3,Arizona,1825,471,666,927,1101,66,69,71,71,77,84,88,92,99,112,116,135,142,159,170,182,191,210,217,222,236,229,244,252,259,258
4,Massachusetts,8183,100,99,115,123,32,33,35,36,37,41,43,46,48,54,54,64,66,72,76,80,83,94,93,97,101,107,108,110,105,111
5,Wisconsin,796,78,92,113,125,32,34,35,35,37,41,40,47,48,50,55,63,67,74,79,82,91,94,100,100,110,107,109,116,115,113
6,Texas,3000,659,758,924,1037,540,564,582,597,610,651,687,717,736,782,825,930,962,1050,1112,1169,1243,1349,1374,1409,1462,1479,1503,1558,1577,1587
7,Nebraska,284,17,14,13,11,12,13,13,13,13,12,13,14,14,13,12,12,14,13,16,15,15,15,16,15,15,17,17,16,17,16
8,Utah,184,51,43,42,39,27,27,27,27,28,27,30,28,29,28,31,31,31,33,34,34,34,35,34,34,33,33,36,37,35,37
9,Oregon,215,23,25,26,29,10,11,12,12,12,13,14,13,15,17,17,19,20,23,24,24,26,29,30,30,32,32,30,33,32,34
10,Florida,3731,1113,1366,1740,1990,308,326,338,351,351,383,407,422,455,472,503,573,605,656,689,748,772,848,891,886,932,948,958,980,1009,1041
11,New York,32244,223,215,238,261,0,0,0,0,1,1,1,2,2,2,3,3,4,4,5,4,5,5,6,6,6,7,7,7,7,8
12,Rhode Island,960,36,77,137,179,12,15,17,19,21,24,26,30,36,41,47,62,71,81,93,102,110,128,143,148,156,155,168,177,175,179
13,Georgia,2860,358,464,614,723,152,163,175,184,195,220,238,251,279,298,327,378,413,467,486,521,558,629,627,674,686,705,700,734,755,765
14,New Hampshire,381,7,4,0,0,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
15,North Carolina,1423,266,261,280,299,133,141,145,146,150,162,170,175,180,191,197,229,237,249,265,273,283,299,318,324,329,344,337,354,343,357
16,New Jersey,15211,184,147,126,122,81,83,89,90,92,99,102,104,107,113,118,127,136,137,146,152,154,164,178,182,179,179,178,190,178,193
17,Colorado,1701,28,23,24,27,44,45,48,48,49,51,53,54,58,59,60,69,71,76,75,81,83,91,90,93,94,94,98,104,102,102
18,Maryland,3243,92,117,176,213,56,59,60,63,66,77,82,87,98,103,119,144,156,172,191,209,227,253,266,282,292,287,306,318,310,337
19,Nevada,534,86,117,144,172,60,64,66,66,68,75,75,84,85,93,99,114,118,127,134,142,149,163,167,173,174,177,180,184,187,191
20,Tennessee,645,178,227,318,364,42,46,48,51,54,63,65,74,75,85,91,107,122,131,142,147,166,173,177,193,193,195,201,211,212,219
21,Hawaii,19,0,0,0,1,1,2,1,2,2,2,2,2,2,3,2,3,4,4,4,4,5,5,5,5,5,5,5,6,7,6
22,Indiana,2693,61,61,70,81,37,40,40,41,42,45,47,49,49,52,61,63,72,77,83,91,94,105,105,109,112,113,117,122,131,128
23,Kentucky,585,20,17,21,20,6,5,5,6,5,7,8,8,9,10,11,13,14,15,16,18,19,21,20,21,22,23,22,25,24,24
24,Minnesota,1508,68,61,69,69,35,35,35,35,36,38,40,40,43,46,44,57,55,58,61,63,70,75,74,77,79,82,80,84,82,89
25,Oklahoma,398,34,33,36,39,24,24,26,28,27,30,33,33,35,33,37,40,44,46,48,49,53,57,60,62,63,62,62,68,66,67
26,Pennsylvania,6753,167,176,231,266,47,51,53,54,58,63,68,71,79,83,93,112,122,138,149,163,173,190,208,213,222,229,233,246,245,247
27,South Carolina,820,259,274,304,328,60,62,64,67,69,75,79,85,88,91,97,109,116,124,129,132,139,152,158,160,160,170,168,171,169,179
28,District of Columbia,559,7,7,7,7,3,3,3,3,3,4,4,4,4,4,4,5,5,5,6,6,5,6,6,6,6,6,6,7,7,6
29,Kansas,284,29,18,12,7,10,8,7,7,6,6,6,6,6,6,6,6,7,7,6,6,6,7,6,6,6,6,7,6,6,6
30,Missouri,1051,68,59,62,64,30,31,30,32,32,36,37,39,42,42,46,52,51,56,62,61,68,73,75,74,77,75,79,82,84,83
31,Vermont,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Virginia,1853,78,73,78,85,43,43,46,46,46,50,51,50,56,54,56,67,65,70,73,77,83,87,84,90,94,98,96,103,106,106
33,Connecticut,4335,36,34,31,29,16,16,15,16,15,16,16,17,17,17,18,20,21,22,22,23,24,24,27,25,26,27,27,30,29,28
