,State,172,178,185,192,199,173,174,175,176,177,179,180,181,182,183,184,186,187,188,189,190,191,193,194,195,196,197,198,200,201,202
0,Washington,1438,24,14,9,3,56,52,51,49,46,43,42,39,38,35,35,33,31,29,28,30,27,25,26,26,24,25,28,27,25,24
1,Illinois,7388,157,143,135,126,68,73,75,77,80,90,98,101,108,113,126,145,160,171,181,195,200,228,240,243,247,248,268,272,281,266
2,California,7051,899,879,848,827,713,724,744,753,777,830,837,882,898,938,970,1054,1080,1174,1182,1248,1285,1363,1421,1419,1465,1454,1521,1551,1550,1579
3,Arizona,2237,332,287,235,200,70,69,70,68,70,71,70,69,71,69,71,71,68,69,73,71,70,69,70,71,70,70,70,70,68,69
4,Massachusetts,8325,92,72,49,36,32,34,36,37,37,40,39,41,42,44,44,47,48,51,53,53,56,59,63,63,64,64,65,64,67,66
5,Wisconsin,820,59,61,63,66,42,43,46,48,52,56,59,61,66,69,74,85,95,101,110,110,119,129,138,142,139,150,150,149,156,157
6,Texas,3739,622,657,675,704,703,735,754,778,805,856,888,920,958,1019,1070,1218,1288,1386,1444,1529,1608,1747,1799,1865,1937,1956,1986,2037,2054,2076
7,Nebraska,285,13,14,14,15,13,13,14,14,14,16,17,17,17,19,19,23,24,26,28,30,31,33,33,36,38,38,40,40,42,41
8,Utah,215,51,56,55,55,24,24,26,26,28,29,29,30,30,31,33,34,37,38,39,40,40,42,44,47,44,47,45,48,47,48
9,Oregon,234,13,7,7,7,12,12,12,13,14,15,14,15,16,18,19,21,22,23,23,26,27,30,30,30,31,31,34,34,34,35
10,Florida,4242,869,874,883,885,381,390,400,405,409,429,441,455,470,486,504,549,569,594,617,645,661,707,729,753,758,777,795,814,805,827
11,New York,32395,218,178,145,129,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,4,3,3,4,4,4,4
12,Rhode Island,976,7,0,0,0,5,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
