,State,179,185,192,199,206,180,181,182,183,184,186,187,188,189,190,191,193,194,195,196,197,198,200,201,202,203,204,205,207,208,209
0,Washington,1447,42,43,40,37,44,46,48,50,50,53,53,57,59,60,67,71,75,79,84,90,92,103,101,105,109,112,110,118,115,115
1,Illinois,7488,151,119,95,73,73,77,78,81,85,87,92,94,97,103,107,115,125,130,132,141,149,162,163,168,166,173,176,179,180,181
2,California,7715,769,612,473,381,683,680,680,680,684,691,693,690,690,695,699,717,719,730,742,773,760,806,792,828,821,817,841,838,837,842
3,Arizona,2761,428,356,268,204,88,87,88,88,89,88,92,91,93,94,98,101,102,102,110,109,112,116,117,120,117,120,119,121,123,124
4,Massachusetts,8431,86,64,44,29,23,23,24,27,27,28,31,30,31,31,31,34,35,38,38,37,38,41,43,43,44,43,42,46,46,45
5,Wisconsin,844,55,54,47,43,29,33,32,36,38,39,41,43,45,46,50,56,58,61,66,69,68,74,77,79,83,83,86,87,88,87
6,Texas,4679,860,786,695,622,754,779,796,812,829,868,895,916,959,976,1007,1065,1094,1152,1179,1192,1231,1300,1323,1367,1384,1374,1393,1377,1426,1419
7,Nebraska,301,14,9,7,4,10,9,9,9,9,10,10,9,9,9,9,9,10,8,9,9,8,9,9,9,10,9,9,9,9,9
8,Utah,243,24,21,15,14,24,25,25,24,25,26,28,27,27,29,29,29,33,35,35,34,36,36,38,40,38,38,41,40,43,42
9,Oregon,260,7,7,0,0,12,13,13,14,14,15,14,15,14,15,16,16,17,18,19,18,19,19,21,22,22,21,21,23,22,24
10,Florida,4982,1092,1013,938,895,355,358,361,360,365,373,382,394,403,410,420,447,456,476,492,502,513,550,542,558,559,577,579,583,581,596
11,New York,32516,131,96,72,51,0,0,1,1,1,2,1,2,2,2,2,2,2,3,3,3,3,3,4,4,3,4,4,4,3,4
12,Rhode Island,990,20,15,14,8,11,11,11,11,12,12,13,12,13,14,14,16,17,17,17,19,19,19,20,22,23,21,23,23,23,22
13,Georgia,3174,201,169,133,111,185,190,193,201,201,213,223,228,238,242,252,273,286,297,305,312,330,349,349,358,362,377,369,363,384,394
14,New Hampshire,398,0,0,0,0,3,3,3,3,4,4,4,4,3,4,4,4,4,5,5,5,5,5,5,6,5,6,6,6,5,6
15,North Carolina,1652,165,139,114,91,146,150,151,154,160,164,164,174,179,181,185,194,206,217,226,223,227,250,249,258,265,267,274,274,275,277
16,New Jersey,15706,61,37,21,12,66,62,60,58,57,54,55,52,51,50,51,51,52,53,54,56,53,56,58,56,56,58,58,59,60,59
17,Colorado,1752,36,27,18,12,30,32,32,34,33,34,36,35,37,38,40,42,42,42,45,48,48,49,52,52,52,56,53,54,55,55
18,Maryland,3377,93,78,62,52,53,59,60,64,66,72,74,78,81,87,90,100,108,112,118,129,133,138,144,146,150,156,160,159,168,160
19,Nevada,647,63,63,67,68,74,77,81,86,85,95,99,105,112,116,118,131,141,152,156,166,172,186,192,198,197,208,207,214,213,220
20,Tennessee,843,157,155,141,139,51,52,54,55,59,67,71,73,77,81,90,97,100,108,115,122,126,136,145,143,146,151,153,159,155,158
21,Hawaii,24,0,0,0,0,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
22,Indiana,2822,45,40,33,28,39,42,43,45,45,51,52,55,58,59,64,72,76,81,87,88,94,100,102,109,108,111,114,115,119,118
23,Kentucky,670,20,21,21,21,8,8,8,10,10,12,14,15,16,18,20,25,29,32,34,38,39,44,46,49,49,51,51,53,54,55
24,Minnesota,1581,47,37,25,14,26,27,28,27,29,29,30,28,30,30,30,31,32,33,32,34,35,34,35,37,37,37,38,40,38,39
25,Oklahoma,451,49,49,42,40,49,51,54,54,57,62,65,66,67,70,76,80,87,96,98,98,104,113,110,118,119,115,122,127,122,119
26,Pennsylvania,7022,92,67,46,32,58,58,60,60,61,63,64,64,65,66,66,69,71,76,79,82,79,84,86,90,87,89,90,97,91,91
27,South Carolina,1155,162,126,98,75,72,75,75,74,78,76,78,76,82,82,81,83,84,85,87,89,88,92,91,94,95,94,98,95,97,100
28,District of Columbia,578,10,7,6,2,4,5,4,4,4,5,6,5,5,6,6,6,6,6,6,7,7,7,7,7,8,7,8,8,7,8
29,Kansas,309,33,28,21,21,13,13,13,13,14,14,15,14,14,15,15,16,16,17,17,16,18,18,17,18,18,19,19,19,19,21
30,Missouri,1136,70,63,56,50,40,41,45,46,47,51,55,54,57,60,65,69,74,83,88,88,97,99,112,106,109,112,117,121,120,115
31,Vermont,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
32,Virginia,2027,36,31,24,18,110,113,117,121,125,133,135,144,148,151,157,176,175,186,191,200,206,214,221,232,241,235,239,244,251,248
33,Connecticut,4396,21,15,9,4,23,22,22,22,21,21,21,21,21,21,20,22,22,21,22,21,23,23,23,23,23,23,24,24,24,22
34,Iowa,793,40,33,24,19,33,33,32,34,33,35,35,35,38,37,37,41,41,41,44,44,44,45,49,49,50,49,50,51,51,52
35,Louisiana,3543,117,81,46,25,141,135,132,129,126,123,119,117,111,109,101,99,97,94,87,86,84,82,80,77,82,78,74,73,77,78
36,Ohio,3174,144,121,93,78,93,95,98,100,101,105,109,113,115,122,125,137,141,144,155,161,166,173,173,179,186,199,194,200,198,206
37,Michigan,6366,82,74,66,55,43,45,48,49,52,59,58,63,65,68,74,80,87,94,98,101,106,117,119,118,130,124,131,134,132,139
38,South Dakota,118,0,0,0,0,2,2,2,3,3,3,3,3,4,4,4,5,5,5,6,6,6,7,6,7,7,6,8,7,8,7
39,Arkansas,357,56,51,44,39,36,34,36,37,36,37,39,39,41,43,45,49,49,54,54,63,59,62,67,70,70,72,73,74,75,77
40,Delaware,523,7,7,1,0,7,7,7,7,7,7,7,7,8,8,8,8,9,10,9,10,10,13,11,12,12,12,12,13,13,12
41,Mississippi,1355,42,38,35,30,26,28,30,34,34,38,39,42,44,47,49,55,57,60,64,68,71,75,74,78,83,81,84,87,87,86
42,New Mexico,571,18,13,10,7,24,24,24,26,25,25,26,27,26,27,27,27,28,30,31,33,31,34,34,34,34,35,34,34,35,35
43,North Dakota,92,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,3,4,5,5,5,5,5,6,6,5,5,6,6,7,7
44,Wyoming,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
45,Alaska,18,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,5,4,5,4,5,5,4
46,Maine,117,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Alabama,1287,163,144,123,107,241,248,260,260,269,282,289,297,302,321,330,355,376,382,396,422,419,441,448,460,471,500,488,504,489,506
48,Idaho,119,15,14,14,14,12,12,13,13,13,14,15,16,16,18,17,20,20,19,20,22,23,23,24,24,25,25,25,26,25,26
49,Montana,37,0,0,0,0,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,6,6,7,7,7,7,8,7,7
50,Puerto Rico,178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,100,0,0,0,0,4,4,4,4,5,6,6,6,7,8,8,9,10,10,11,12,12,14,13,14,15,15,15,16,16,16
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
