Afghanistan,33.93911,67.709953
Albania,41.1533,20.1683
Algeria,28.0339,1.6596
Andorra,42.5063,1.5218
Angola,-11.2027,17.8739
Antigua and Barbuda,17.0608,-61.7964
Argentina,-38.4161,-63.6167
Armenia,40.0691,45.0382
Australia,-25,133
Austria,47.5162,14.5501
Azerbaijan,40.1431,47.5769
Bahamas,25.025885,-78.035889
Bahrain,26.0275,50.55
Bangladesh,23.685,90.3563
Barbados,13.1939,-59.5432
Belarus,53.7098,27.9534
Belgium,50.8333,4.469936
Benin,9.3077,2.3158
Bhutan,27.5142,90.4336
Bolivia,-16.2902,-63.5887
Bosnia and Herzegovina,43.9159,17.6791
Brazil,-14.235,-51.9253
Brunei,4.5353,114.7277
Bulgaria,42.7339,25.4858
Burkina Faso,12.2383,-1.5616
Cabo Verde,16.5388,-23.0418
Cambodia,11.55,104.9167
Cameroon,3.848,11.5021
Canada,60,-95
Central African Republic,6.6111,20.9394
Chad,15.4542,18.7322
Chile,-35.6751,-71.543
China,30.5928,114.3055
Colombia,4.5709,-74.2973
Congo (Brazzaville),-4.2634,15.2832
Congo (Kinshasa),-4.322447,15.307045
Costa Rica,9.7489,-83.7534
Cote d'Ivoire,7.54,-5.5471
Croatia,45.1,15.2
Diamond Princess,0,0
Cuba,21.521757,-77.781167
Cyprus,35.1264,33.4299
Czechia,49.8175,15.473
Denmark,56.2639,9.5018
Djibouti,11.8251,42.5903
Dominican Republic,18.7357,-70.1627
Ecuador,-1.8312,-78.1834
Egypt,26.820553,30.802498
El Salvador,13.7942,-88.8965
Equatorial Guinea,1.6508,10.2679
Eritrea,15.1794,39.7823
Estonia,58.5953,25.0136
Eswatini,-26.5225,31.4659
Ethiopia,9.145,40.4897
Fiji,-17.7134,178.065
Finland,61.92411,25.748151
France,46.2276,2.2137
Gabon,-0.8037,11.6094
Gambia,13.4432,-15.3101
Georgia,42.3154,43.3569
Germany,51.165691,10.451526
Ghana,7.9465,-1.0232
Greece,39.0742,21.8243
Guatemala,15.7835,-90.2308
Guinea,9.9456,-9.6966
Guyana,4.860416,-58.93018
Haiti,18.9712,-72.2852
Holy See,41.9029,12.4534
Honduras,15.2,-86.2419
Hungary,47.1625,19.5033
Iceland,64.9631,-19.0208
India,20.593684,78.96288
Indonesia,-0.7893,113.9213
Iran,32.427908,53.688046
Iraq,33.223191,43.679291
Ireland,53.1424,-7.6921
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Jamaica,18.1096,-77.2975
Japan,36.204824,138.252924
Jordan,31.24,36.51
Kazakhstan,48.0196,66.9237
Kenya,-0.0236,37.9062
"Korea, South",35.907757,127.766922
Kuwait,29.31166,47.481766
Kyrgyzstan,41.20438,74.766098
Latvia,56.8796,24.6032
Lebanon,33.8547,35.8623
Liberia,6.428055,-9.429499
Liechtenstein,47.14,9.55
Lithuania,55.1694,23.8813
Luxembourg,49.8153,6.1296
Madagascar,-18.766947,46.869107
Malaysia,4.210484,101.975766
Maldives,3.2028,73.2207
Malta,35.9375,14.3754
Mauritania,21.0079,-10.9408
Mauritius,-20.348404,57.552152
Mexico,23.6345,-102.5528
Moldova,47.4116,28.3699
Monaco,43.7333,7.4167
Mongolia,46.8625,103.8467
Montenegro,42.708678,19.37439
Morocco,31.7917,-7.0926
Namibia,-22.9576,18.4904
Nepal,28.1667,84.25
Netherlands,52.1326,5.2913
New Zealand,-40.9006,174.886
Nicaragua,12.865416,-85.207229
Niger,17.607789,8.081666
Nigeria,9.082,8.6753
North Macedonia,41.6086,21.7453
Norway,60.472,8.4689
Oman,21.512583,55.923255
Pakistan,30.3753,69.3451
Panama,8.538,-80.7821
Papua New Guinea,-6.314993,143.95555
Paraguay,-23.4425,-58.4438
Peru,-9.19,-75.0152
Philippines,12.879721,121.774017
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Qatar,25.3548,51.1839
Romania,45.9432,24.9668
Russia,61.52401,105.318756
Rwanda,-1.9403,29.8739
Saint Lucia,13.9094,-60.9789
Saint Vincent and the Grenadines,12.9843,-61.2872
San Marino,43.9424,12.4578
Saudi Arabia,23.885942,45.079162
Senegal,14.4974,-14.4524
Serbia,44.0165,21.0059
Seychelles,-4.6796,55.492
Singapore,1.2833,103.8333
Slovakia,48.669,19.699
Slovenia,46.1512,14.9955
Somalia,5.152149,46.199616
South Africa,-30.5595,22.9375
Spain,40.463667,-3.74922
Sri Lanka,7.873054,80.771797
Sudan,12.8628,30.2176
Suriname,3.9193,-56.0278
Sweden,60.128161,18.643501
Switzerland,46.8182,8.2275
Tanzania,-6.369028,34.888822
Thailand,15.870032,100.992541
Togo,8.6195,0.8248
Trinidad and Tobago,10.6918,-61.2225
Tunisia,33.886917,9.537499
Turkey,38.9637,35.2433
Uganda,1.373333,32.290275
Ukraine,48.3794,31.1656
United Arab Emirates,23.424076,53.847818
United Kingdom,55.3781,-3.436
Uruguay,-32.5228,-55.7658
US,40,-100
Uzbekistan,41.377491,64.585262
Venezuela,6.4238,-66.5897
Vietnam,14.058324,108.277199
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
Dominica,15.415,-61.371
Grenada,12.1165,-61.679
Mozambique,-18.665695,35.529562
Syria,34.802075,38.996815
Timor-Leste,-8.874217,125.727539
Belize,17.1899,-88.4976
Laos,19.85627,102.495496
Libya,26.3351,17.228331
West Bank and Gaza,31.9522,35.2332
Guinea-Bissau,11.8037,-15.1804
Mali,17.570692,-3.996166
Saint Kitts and Nevis,17.357822,-62.782998
Kosovo,42.602636,20.902977
Burma,21.9162,95.956
MS Zaandam,0,0
