,State,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
0,Washington,1001,30,12,13,12,12,11,11,10,11,8,7,9,10,7
1,Illinois,4177,159,120,116,112,109,101,104,101,94,97,81,78,84,80
2,California,3240,118,84,79,79,68,77,70,71,62,59,58,57,50,53
3,Arizona,680,35,16,18,17,17,18,17,15,16,17,18,15,19,19
4,Massachusetts,5797,103,97,84,87,78,79,71,67,68,60,59,52,51,54
5,Wisconsin,453,36,18,18,17,19,16,18,15,17,19,15,18,21,18
6,Texas,1343,40,34,35,34,39,35,36,33,36,36,33,39,40,32
7,Nebraska,123,20,8,12,9,10,9,12,10,12,10,14,10,10,14
8,Utah,80,9,5,4,4,4,3,4,3,4,3,4,4,3,3
9,Oregon,137,6,2,4,3,2,3,4,2,2,3,4,2,2,3
10,Florida,1973,76,36,36,34,33,35,33,31,32,29,27,32,26,32
11,New York,28232,-1015,214,205,198,183,158,158,149,140,132,133,109,104,101
12,Rhode Island,499,273,18,15,16,14,13,17,14,11,14,13,12,11,10
13,Georgia,1610,-3,20,15,15,14,15,12,12,13,13,11,9,10,9
14,New Hampshire,172,14,7,6,5,4,5,4,5,4,4,4,4,4,4
15,North Carolina,686,15,26,25,26,26,30,32,32,32,30,40,40,36,44
16,New Jersey,10363,87,108,101,94,88,77,81,74,67,64,56,50,55,48
17,Colorado,1215,31,20,20,20,18,16,15,19,13,18,15,17,14,18
18,Maryland,1992,-55,50,49,48,51,44,42,42,42,39,40,35,39,36
19,Nevada,350,2,5,4,5,4,5,4,3,4,4,4,2,4,3
20,Tennessee,298,11,11,9,10,9,9,9,9,10,11,6,10,10,10
21,Hawaii,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,Indiana,1751,-82,32,30,33,31,28,26,27,31,27,23,29,27,29
23,Kentucky,334,13,8,6,9,7,8,7,8,7,7,9,9,8,7
24,Minnesota,731,40,41,43,48,55,55,61,64,66,75,84,96,101,112
25,Oklahoma,288,5,2,2,1,3,1,2,3,2,2,1,4,1,3
26,Pennsylvania,4495,39,72,72,71,66,65,69,65,61,61,48,55,60,62
27,South Carolina,385,6,5,6,6,6,6,7,4,7,7,5,6,7,6
28,District of Columbia,383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Kansas,195,7,3,4,4,3,3,3,3,3,3,3,4,2,3
30,Missouri,698,-93,7,9,8,8,8,6,7,7,5,7,6,7,6
31,Vermont,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,Virginia,1010,78,39,39,44,39,38,40,40,38,35,38,34,38,34
33,Connecticut,3408,29,51,48,51,44,43,41,38,43,39,34,36,34,34
34,Iowa,351,19,12,12,12,10,12,10,12,12,10,12,11,11,14
35,Louisiana,2491,-39,14,15,13,13,15,13,13,13,17,9,17,14,15
36,Ohio,1625,58,33,33,31,36,30,32,32,28,33,27,33,30,32
37,Michigan,5124,-197,44,43,46,41,34,37,38,36,32,33,31,29,28
38,South Dakota,44,4,2,2,3,2,2,2,2,3,2,1,1,2,2
39,Arkansas,98,5,3,1,3,2,3,4,2,4,3,3,4,5,3
40,Delaware,290,17,10,10,9,11,9,10,8,11,6,9,9,11,10
41,Mississippi,521,13,8,8,9,10,8,9,10,11,11,11,12,11,11
42,New Mexico,265,-15,1,2,1,2,1,1,2,0,1,2,1,1,1
43,North Dakota,43,-31,2,2,1,2,2,2,2,3,1,2,3,3,2
44,Wyoming,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Alaska,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Maine,70,4,2,1,2,2,2,3,1,2,1,2,2,1,2
47,Alabama,488,11,12,13,10,14,12,12,13,15,17,10,16,15,16
48,Idaho,73,0,1,0,1,0,1,1,0,1,1,1,1,0,1
49,Montana,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Puerto Rico,123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,67,-2,0,0,0,0,0,0,1,0,0,0,0,0,0
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
