PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,North Carolina,2021,40,X,1.37293,X,X,X,X,X,X,1276,144,92940
States,North Dakota,2021,40,X,2.06273,X,X,X,X,X,X,73,9,3539
States,Ohio,2021,40,X,2.71795,X,X,X,X,X,X,1325,83,48750
States,Oklahoma,2021,40,X,1.0532,X,X,X,X,X,X,98,21,9305
States,Oregon,2021,40,X,1.35573,X,X,X,X,X,X,511,88,37692
States,Pennsylvania,2021,40,X,1.59767,X,X,X,X,X,X,1203,102,75297
States,Rhode Island,2021,40,X,0.398047,X,X,X,X,X,X,53,25,13315
States,South Carolina,2021,40,X,1.26172,X,X,X,X,X,X,401,40,31782
States,South Dakota,2021,40,X,0.898204,X,X,X,X,X,X,84,31,9352
States,Tennessee,2021,40,X,1.56992,X,X,X,X,X,X,522,104,33250
States,Texas,2021,40,X,2.3993,X,X,X,X,X,X,1283,76,53474
States,Utah,2021,40,X,1.91896,X,X,X,X,X,X,394,47,20532
States,Vermont,2021,40,X,1.12666,X,X,X,X,X,X,62,13,5503
States,Virginia,2021,40,X,2.59608,X,X,X,X,X,X,2848,164,109704
States,Washington,2021,40,X,1.53258,X,X,X,X,X,X,545,72,35561
States,West Virginia,2021,40,X,2.17179,X,X,X,X,X,X,267,39,12294
States,Wisconsin,2021,40,X,1.18857,X,X,X,X,X,X,274,34,23053
States,Wyoming,2021,40,X,2.26871,X,X,X,X,X,X,77,13,3394
States,Commonwealth of the Northern Mariana Islands,2021,40,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2021,40,X,8.27108,X,X,X,X,X,X,155,6,1874
States,Virgin Islands,2021,40,X,0.372539,X,X,X,X,X,X,7,5,1879
States,New York City,2021,40,X,2.22137,X,X,X,X,X,X,1845,29,83057
States,Alabama,2021,41,X,1.55095,X,X,X,X,X,X,743,108,47906
States,Alaska,2021,41,X,1.34621,X,X,X,X,X,X,46,12,3417
States,Arizona,2021,41,X,1.82393,X,X,X,X,X,X,179,29,9814
States,Arkansas,2021,41,X,1.36207,X,X,X,X,X,X,218,56,16005
States,California,2021,41,X,1.59992,X,X,X,X,X,X,1828,158,114256
States,Colorado,2021,41,X,2.0964,X,X,X,X,X,X,876,82,41786
States,Connecticut,2021,41,X,1.69796,X,X,X,X,X,X,832,74,49000
States,Delaware,2021,41,X,1.00167,X,X,X,X,X,X,108,16,10782
States,District of Columbia,2021,41,X,4.56906,X,X,X,X,X,X,308,4,6741
States,Florida,2021,41,X,2.71984,X,X,X,X,X,X,6218,358,228616
States,Georgia,2021,41,X,2.55923,X,X,X,X,X,X,1818,106,71037
States,Hawaii,2021,41,X,0.751527,X,X,X,X,X,X,16,16,2129
States,Idaho,2021,41,X,1.77497,X,X,X,X,X,X,174,34,9803
States,Illinois,2021,41,X,1.00425,X,X,X,X,X,X,797,187,79363
States,Indiana,2021,41,X,1.37193,X,X,X,X,X,X,720,106,52481
States,Iowa,2021,41,X,1.49365,X,X,X,X,X,X,100,17,6695
States,Kansas,2021,41,X,1.28875,X,X,X,X,X,X,185,27,14355
States,Kentucky,2021,41,X,1.17964,X,X,X,X,X,X,429,84,36367
States,Louisiana,2021,41,X,0.984992,X,X,X,X,X,X,401,92,40711
States,Maine,2021,41,X,1.32055,X,X,X,X,X,X,208,53,15751
States,Maryland,2021,41,X,1.98462,X,X,X,X,X,X,826,63,41620
States,Massachusetts,2021,41,X,1.21124,X,X,X,X,X,X,912,92,75295
States,Michigan,2021,41,X,1.46322,X,X,X,X,X,X,1242,154,84881
States,Minnesota,2021,41,X,4.0137,X,X,X,X,X,X,1594,75,39714
States,Mississippi,2021,41,X,2.46793,X,X,X,X,X,X,279,30,11305
States,Missouri,2021,41,X,1.73652,X,X,X,X,X,X,491,49,28275
States,Montana,2021,41,X,1.67267,X,X,X,X,X,X,116,30,6935
States,Nebraska,2021,41,X,1.97332,X,X,X,X,X,X,287,73,14544
States,Nevada,2021,41,X,1.71037,X,X,X,X,X,X,182,26,10641
States,New Hampshire,2021,41,X,0.339559,X,X,X,X,X,X,6,9,1767
States,New Jersey,2021,41,X,3.24383,X,X,X,X,X,X,929,33,28639
States,New Mexico,2021,41,X,2.83335,X,X,X,X,X,X,558,37,19694
States,New York,2021,41,X,2.11982,X,X,X,X,X,X,1197,124,56467
States,North Carolina,2021,41,X,1.28408,X,X,X,X,X,X,1201,145,93530
States,North Dakota,2021,41,X,2.36834,X,X,X,X,X,X,76,9,3209
States,Ohio,2021,41,X,2.68194,X,X,X,X,X,X,1295,86,48286
States,Oklahoma,2021,41,X,1.71585,X,X,X,X,X,X,157,21,9150
States,Oregon,2021,41,X,1.39916,X,X,X,X,X,X,524,89,37451
States,Pennsylvania,2021,41,X,1.46971,X,X,X,X,X,X,1083,102,73688
States,Rhode Island,2021,41,X,0.42494,X,X,X,X,X,X,58,27,13649
States,South Carolina,2021,41,X,1.19551,X,X,X,X,X,X,379,40,31702
States,South Dakota,2021,41,X,0.832017,X,X,X,X,X,X,79,31,9495
States,Tennessee,2021,41,X,1.44321,X,X,X,X,X,X,476,107,32982
States,Texas,2021,41,X,2.20494,X,X,X,X,X,X,1157,72,52473
States,Utah,2021,41,X,2.19521,X,X,X,X,X,X,419,47,19087
States,Vermont,2021,41,X,0.946548,X,X,X,X,X,X,51,14,5388
States,Virginia,2021,41,X,2.31852,X,X,X,X,X,X,2475,164,106749
States,Washington,2021,41,X,1.55474,X,X,X,X,X,X,535,72,34411
States,West Virginia,2021,41,X,1.52238,X,X,X,X,X,X,182,43,11955
States,Wisconsin,2021,41,X,1.05537,X,X,X,X,X,X,231,33,21888
States,Wyoming,2021,41,X,3.10743,X,X,X,X,X,X,105,14,3379
States,Commonwealth of the Northern Mariana Islands,2021,41,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2021,41,X,5.92885,X,X,X,X,X,X,120,7,2024
States,Virgin Islands,2021,41,X,0.33761,X,X,X,X,X,X,5,4,1481
States,New York City,2021,41,X,2.21315,X,X,X,X,X,X,1761,28,79570
States,Alabama,2021,42,X,1.62996,X,X,X,X,X,X,772,109,47363
States,Alaska,2021,42,X,1.15136,X,X,X,X,X,X,41,12,3561
States,Arizona,2021,42,X,1.63209,X,X,X,X,X,X,188,30,11519
States,Arkansas,2021,42,X,1.42165,X,X,X,X,X,X,220,54,15475
States,California,2021,42,X,1.70283,X,X,X,X,X,X,2023,161,118802
States,Colorado,2021,42,X,2.19001,X,X,X,X,X,X,917,82,41872
States,Connecticut,2021,42,X,1.41355,X,X,X,X,X,X,676,72,47823
States,Delaware,2021,42,X,0.846208,X,X,X,X,X,X,109,19,12881
States,District of Columbia,2021,42,X,4.16427,X,X,X,X,X,X,289,4,6940
States,Florida,2021,42,X,2.81387,X,X,X,X,X,X,6395,359,227267
States,Georgia,2021,42,X,2.26014,X,X,X,X,X,X,1595,105,70571
States,Hawaii,2021,42,X,0.931829,X,X,X,X,X,X,19,16,2039
States,Idaho,2021,42,X,1.45523,X,X,X,X,X,X,131,33,9002
States,Illinois,2021,42,X,1.04003,X,X,X,X,X,X,843,189,81055
States,Indiana,2021,42,X,1.30851,X,X,X,X,X,X,669,105,51127
States,Iowa,2021,42,X,1.01071,X,X,X,X,X,X,67,16,6629
States,Kansas,2021,42,X,1.47227,X,X,X,X,X,X,180,27,12226
States,Kentucky,2021,42,X,1.18242,X,X,X,X,X,X,416,83,35182
States,Louisiana,2021,42,X,0.894295,X,X,X,X,X,X,372,92,41597
States,Maine,2021,42,X,1.19209,X,X,X,X,X,X,185,53,15519
States,Maryland,2021,42,X,1.79331,X,X,X,X,X,X,759,62,42324
States,Massachusetts,2021,42,X,1.11751,X,X,X,X,X,X,836,93,74809
States,Michigan,2021,42,X,1.51329,X,X,X,X,X,X,1221,154,80685
States,Minnesota,2021,42,X,3.75369,X,X,X,X,X,X,1424,75,37936
States,Mississippi,2021,42,X,2.58256,X,X,X,X,X,X,330,32,12778
States,Missouri,2021,42,X,1.49167,X,X,X,X,X,X,409,49,27419
States,Montana,2021,42,X,1.88889,X,X,X,X,X,X,136,30,7200
States,Nebraska,2021,42,X,2.13754,X,X,X,X,X,X,313,73,14643
States,Nevada,2021,42,X,1.94034,X,X,X,X,X,X,214,25,11029
States,New Hampshire,2021,42,X,0.37234,X,X,X,X,X,X,7,9,1880
States,New Jersey,2021,42,X,2.89477,X,X,X,X,X,X,855,35,29536
States,New Mexico,2021,42,X,2.94692,X,X,X,X,X,X,634,40,21514
States,New York,2021,42,X,1.94862,X,X,X,X,X,X,1065,123,54654
States,North Carolina,2021,42,X,1.1447,X,X,X,X,X,X,1048,145,91552
States,North Dakota,2021,42,X,2.54287,X,X,X,X,X,X,86,9,3382
States,Ohio,2021,42,X,2.56432,X,X,X,X,X,X,1197,88,46679
States,Oklahoma,2021,42,X,1.27959,X,X,X,X,X,X,120,23,9378
States,Oregon,2021,42,X,1.36386,X,X,X,X,X,X,520,89,38127
States,Pennsylvania,2021,42,X,1.62744,X,X,X,X,X,X,446,46,27405
States,Rhode Island,2021,42,X,0.336411,X,X,X,X,X,X,47,27,13971
States,South Carolina,2021,42,X,1.16174,X,X,X,X,X,X,361,40,31074
States,South Dakota,2021,42,X,0.865485,X,X,X,X,X,X,83,31,9590
States,Tennessee,2021,42,X,1.40926,X,X,X,X,X,X,464,107,32925
States,Texas,2021,42,X,2.21965,X,X,X,X,X,X,1150,77,51810
States,Utah,2021,42,X,2.21968,X,X,X,X,X,X,447,47,20138
States,Vermont,2021,42,X,0.930321,X,X,X,X,X,X,49,13,5267
States,Virginia,2021,42,X,2.17909,X,X,X,X,X,X,2243,164,102933
States,Washington,2021,42,X,1.53321,X,X,X,X,X,X,526,72,34307
States,West Virginia,2021,42,X,1.45198,X,X,X,X,X,X,187,42,12879
States,Wisconsin,2021,42,X,1.1237,X,X,X,X,X,X,242,34,21536
States,Wyoming,2021,42,X,3.18618,X,X,X,X,X,X,83,12,2605
States,Commonwealth of the Northern Mariana Islands,2021,42,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2021,42,X,7.58588,X,X,X,X,X,X,159,7,2096
States,Virgin Islands,2021,42,X,0.521512,X,X,X,X,X,X,8,4,1534
States,New York City,2021,42,X,2.08323,X,X,X,X,X,X,1655,30,79444
States,Alabama,2021,43,X,1.73286,X,X,X,X,X,X,767,97,44262
States,Alaska,2021,43,X,1.24638,X,X,X,X,X,X,43,12,3450
States,Arizona,2021,43,X,1.79171,X,X,X,X,X,X,208,30,11609
States,Arkansas,2021,43,X,1.33308,X,X,X,X,X,X,209,54,15678
States,California,2021,43,X,1.70732,X,X,X,X,X,X,2044,161,119720
States,Colorado,2021,43,X,2.22154,X,X,X,X,X,X,945,82,42538
States,Connecticut,2021,43,X,1.44405,X,X,X,X,X,X,661,72,45774
States,Delaware,2021,43,X,0.912799,X,X,X,X,X,X,94,16,10298
States,District of Columbia,2021,43,X,4.85167,X,X,X,X,X,X,332,4,6843
States,Florida,2021,43,X,2.88061,X,X,X,X,X,X,6495,359,225473
States,Georgia,2021,43,X,2.48776,X,X,X,X,X,X,1758,105,70666
States,Hawaii,2021,43,X,1.17754,X,X,X,X,X,X,26,16,2208
States,Idaho,2021,43,X,1.42583,X,X,X,X,X,X,141,35,9889
States,Illinois,2021,43,X,1.07399,X,X,X,X,X,X,840,186,78213
States,Indiana,2021,43,X,1.31569,X,X,X,X,X,X,679,107,51608
States,Iowa,2021,43,X,1.16261,X,X,X,X,X,X,75,17,6451
States,Kansas,2021,43,X,1.07649,X,X,X,X,X,X,180,33,16721
States,Kentucky,2021,43,X,1.41028,X,X,X,X,X,X,500,83,35454
States,Louisiana,2021,43,X,0.924127,X,X,X,X,X,X,371,92,40146
States,Maine,2021,43,X,1.43434,X,X,X,X,X,X,213,53,14850
States,Maryland,2021,43,X,1.87835,X,X,X,X,X,X,827,69,44028
States,Massachusetts,2021,43,X,1.08467,X,X,X,X,X,X,769,93,70897
States,Michigan,2021,43,X,1.50128,X,X,X,X,X,X,1192,154,79399
States,Minnesota,2021,43,X,4.01662,X,X,X,X,X,X,1585,75,39461
States,Mississippi,2021,43,X,2.56128,X,X,X,X,X,X,349,34,13626
States,Missouri,2021,43,X,1.53139,X,X,X,X,X,X,423,49,27622
States,Montana,2021,43,X,1.76966,X,X,X,X,X,X,126,30,7120
States,Nebraska,2021,43,X,2.57089,X,X,X,X,X,X,330,73,12836
States,Nevada,2021,43,X,2.22663,X,X,X,X,X,X,236,24,10599
States,New Hampshire,2021,43,X,0.483325,X,X,X,X,X,X,10,11,2069
States,New Jersey,2021,43,X,3.01688,X,X,X,X,X,X,858,35,28440
States,New Mexico,2021,43,X,3.16667,X,X,X,X,X,X,665,39,21000
States,New York,2021,43,X,1.94925,X,X,X,X,X,X,1021,124,52379
States,North Carolina,2021,43,X,1.23386,X,X,X,X,X,X,1133,147,91826
States,North Dakota,2021,43,X,1.87835,X,X,X,X,X,X,63,9,3354
States,Ohio,2021,43,X,2.48406,X,X,X,X,X,X,1157,88,46577
States,Oklahoma,2021,43,X,1.03934,X,X,X,X,X,X,93,21,8948
States,Oregon,2021,43,X,1.33114,X,X,X,X,X,X,509,89,38238
States,Pennsylvania,2021,43,X,1.35388,X,X,X,X,X,X,947,101,69947
States,Rhode Island,2021,43,X,0.774174,X,X,X,X,X,X,100,26,12917
States,South Carolina,2021,43,X,1.20177,X,X,X,X,X,X,375,41,31204
States,South Dakota,2021,43,X,1.01381,X,X,X,X,X,X,94,31,9272
States,Tennessee,2021,43,X,1.25506,X,X,X,X,X,X,428,106,34102
States,Texas,2021,43,X,2.29476,X,X,X,X,X,X,1089,60,47456
States,Utah,2021,43,X,2.43006,X,X,X,X,X,X,489,47,20123
States,Vermont,2021,43,X,0.9328,X,X,X,X,X,X,49,13,5253
States,Virginia,2021,43,X,2.20879,X,X,X,X,X,X,2229,163,100915
States,Washington,2021,43,X,1.49618,X,X,X,X,X,X,496,71,33151
States,West Virginia,2021,43,X,1.35431,X,X,X,X,X,X,167,41,12331
States,Wisconsin,2021,43,X,0.997424,X,X,X,X,X,X,213,34,21355
States,Wyoming,2021,43,X,2.82271,X,X,X,X,X,X,89,11,3153
States,Commonwealth of the Northern Mariana Islands,2021,43,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2021,43,X,11.7438,X,X,X,X,X,X,231,7,1967
States,Virgin Islands,2021,43,X,0.256246,X,X,X,X,X,X,4,4,1561
States,New York City,2021,43,X,2.0343,X,X,X,X,X,X,1509,28,74178
States,Alabama,2021,44,X,1.87946,X,X,X,X,X,X,856,100,45545
States,Alaska,2021,44,X,1.36945,X,X,X,X,X,X,45,12,3286
States,Arizona,2021,44,X,2.41963,X,X,X,X,X,X,286,31,11820
States,Arkansas,2021,44,X,1.70017,X,X,X,X,X,X,274,56,16116
States,California,2021,44,X,1.67203,X,X,X,X,X,X,2006,158,119974
States,Colorado,2021,44,X,2.4819,X,X,X,X,X,X,1056,82,42548
States,Connecticut,2021,44,X,1.68757,X,X,X,X,X,X,794,72,47050
States,Delaware,2021,44,X,0.711249,X,X,X,X,X,X,87,19,12232
States,District of Columbia,2021,44,X,3.14361,X,X,X,X,X,X,95,1,3022
States,Florida,2021,44,X,3.36512,X,X,X,X,X,X,7710,360,229115
States,Georgia,2021,44,X,2.94832,X,X,X,X,X,X,2063,101,69972
States,Hawaii,2021,44,X,1.18374,X,X,X,X,X,X,23,15,1943
States,Idaho,2021,44,X,1.64721,X,X,X,X,X,X,158,34,9592
States,Illinois,2021,44,X,1.13671,X,X,X,X,X,X,892,185,78472
States,Indiana,2021,44,X,1.53442,X,X,X,X,X,X,795,106,51811
States,Iowa,2021,44,X,1.53916,X,X,X,X,X,X,101,17,6562
States,Kansas,2021,44,X,1.125,X,X,X,X,X,X,198,32,17600
States,Kentucky,2021,44,X,1.72759,X,X,X,X,X,X,578,78,33457
States,Louisiana,2021,44,X,1.10511,X,X,X,X,X,X,444,92,40177
States,Maine,2021,44,X,1.37958,X,X,X,X,X,X,212,53,15367
States,Maryland,2021,44,X,1.87742,X,X,X,X,X,X,767,62,40854
States,Massachusetts,2021,44,X,1.20192,X,X,X,X,X,X,875,91,72800
States,Michigan,2021,44,X,1.95894,X,X,X,X,X,X,1356,152,69221
States,Minnesota,2021,44,X,4.16251,X,X,X,X,X,X,1670,75,40120
States,Mississippi,2021,44,X,3.01175,X,X,X,X,X,X,433,35,14377
States,Missouri,2021,44,X,1.75784,X,X,X,X,X,X,491,49,27932
States,Montana,2021,44,X,2.04439,X,X,X,X,X,X,140,30,6848
States,Nebraska,2021,44,X,2.0515,X,X,X,X,X,X,294,74,14331
States,Nevada,2021,44,X,1.74385,X,X,X,X,X,X,183,25,10494
States,New Hampshire,2021,44,X,0.659134,X,X,X,X,X,X,14,11,2124
States,New Jersey,2021,44,X,2.92396,X,X,X,X,X,X,804,35,27497
States,New Mexico,2021,44,X,3.68377,X,X,X,X,X,X,842,41,22857
States,New York,2021,44,X,2.37059,X,X,X,X,X,X,866,123,36531
States,North Carolina,2021,44,X,1.27527,X,X,X,X,X,X,1131,146,88687
States,North Dakota,2021,44,X,2.24282,X,X,X,X,X,X,75,9,3344
States,Ohio,2021,44,X,2.63929,X,X,X,X,X,X,1243,89,47096
States,Oklahoma,2021,44,X,1.47589,X,X,X,X,X,X,135,22,9147
States,Oregon,2021,44,X,1.34605,X,X,X,X,X,X,494,89,36700
States,Pennsylvania,2021,44,X,1.46588,X,X,X,X,X,X,994,101,67809
States,Rhode Island,2021,44,X,2.43902,X,X,X,X,X,X,346,28,14186
States,South Carolina,2021,44,X,1.33219,X,X,X,X,X,X,418,41,31377
States,South Dakota,2021,44,X,1.09012,X,X,X,X,X,X,101,31,9265
States,Tennessee,2021,44,X,1.52591,X,X,X,X,X,X,531,109,34799
States,Texas,2021,44,X,2.48411,X,X,X,X,X,X,1290,72,51930
States,Utah,2021,44,X,2.81697,X,X,X,X,X,X,591,47,20980
States,Vermont,2021,44,X,1.03306,X,X,X,X,X,X,55,14,5324
States,Virginia,2021,44,X,2.08456,X,X,X,X,X,X,2050,164,98342
States,Washington,2021,44,X,1.61163,X,X,X,X,X,X,531,71,32948
States,West Virginia,2021,44,X,1.07376,X,X,X,X,X,X,153,42,14249
States,Wisconsin,2021,44,X,1.26867,X,X,X,X,X,X,254,34,20021
States,Wyoming,2021,44,X,2.7894,X,X,X,X,X,X,100,13,3585
States,Commonwealth of the Northern Mariana Islands,2021,44,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2021,44,X,8.91977,X,X,X,X,X,X,199,6,2231
States,Virgin Islands,2021,44,X,0.408441,X,X,X,X,X,X,6,4,1469
States,New York City,2021,44,X,2.03741,X,X,X,X,X,X,1576,30,77353
States,Alabama,2021,45,X,2.29406,X,X,X,X,X,X,997,99,43460
States,Alaska,2021,45,X,1.5802,X,X,X,X,X,X,53,12,3354
States,Arizona,2021,45,X,2.30615,X,X,X,X,X,X,276,31,11968
States,Arkansas,2021,45,X,2.00504,X,X,X,X,X,X,342,56,17057
States,California,2021,45,X,1.78767,X,X,X,X,X,X,2158,160,120716
States,Colorado,2021,45,X,2.56926,X,X,X,X,X,X,1112,82,43281
States,Connecticut,2021,45,X,1.64615,X,X,X,X,X,X,773,72,46958
States,Delaware,2021,45,X,0.716204,X,X,X,X,X,X,88,19,12287
States,District of Columbia,2021,45,X,4.03974,X,X,X,X,X,X,122,1,3020
States,Florida,2021,45,X,3.43367,X,X,X,X,X,X,7874,357,229317
States,Georgia,2021,45,X,3.87255,X,X,X,X,X,X,2850,105,73595
States,Hawaii,2021,45,X,1.13698,X,X,X,X,X,X,21,14,1847
States,Idaho,2021,45,X,1.41115,X,X,X,X,X,X,140,35,9921
States,Illinois,2021,45,X,1.2126,X,X,X,X,X,X,959,186,79086
States,Indiana,2021,45,X,1.73137,X,X,X,X,X,X,945,108,54581
States,Iowa,2021,45,X,1.53151,X,X,X,X,X,X,105,17,6856
States,Kansas,2021,45,X,1.38453,X,X,X,X,X,X,238,31,17190
States,Kentucky,2021,45,X,1.72853,X,X,X,X,X,X,624,81,36100
States,Louisiana,2021,45,X,1.31235,X,X,X,X,X,X,542,92,41300
States,Maine,2021,45,X,1.34598,X,X,X,X,X,X,203,53,15082
States,Maryland,2021,45,X,1.86639,X,X,X,X,X,X,839,72,44953
States,Massachusetts,2021,45,X,1.42089,X,X,X,X,X,X,1028,93,72349
States,Michigan,2021,45,X,2.06841,X,X,X,X,X,X,1643,154,79433
States,Minnesota,2021,45,X,4.21393,X,X,X,X,X,X,1679,75,39844
States,Mississippi,2021,45,X,3.20581,X,X,X,X,X,X,455,35,14193
States,Missouri,2021,45,X,1.88063,X,X,X,X,X,X,553,49,29405
States,Montana,2021,45,X,1.89433,X,X,X,X,X,X,128,30,6757
States,Nebraska,2021,45,X,1.98819,X,X,X,X,X,X,293,74,14737
States,Nevada,2021,45,X,1.80188,X,X,X,X,X,X,197,25,10933
States,New Hampshire,2021,45,X,0.583576,X,X,X,X,X,X,14,12,2399
States,New Jersey,2021,45,X,3.54605,X,X,X,X,X,X,1028,35,28990
States,New Mexico,2021,45,X,4.12931,X,X,X,X,X,X,958,42,23200
States,New York,2021,45,X,2.24516,X,X,X,X,X,X,1294,126,57635
States,North Carolina,2021,45,X,1.45365,X,X,X,X,X,X,1306,146,89843
States,North Dakota,2021,45,X,1.91643,X,X,X,X,X,X,61,9,3183
States,Ohio,2021,45,X,2.98544,X,X,X,X,X,X,1474,91,49373
States,Oklahoma,2021,45,X,1.62584,X,X,X,X,X,X,300,22,18452
States,Oregon,2021,45,X,1.30702,X,X,X,X,X,X,490,88,37490
States,Pennsylvania,2021,45,X,1.80583,X,X,X,X,X,X,1257,97,69608
States,Rhode Island,2021,45,X,1.53271,X,X,X,X,X,X,209,29,13636
States,South Carolina,2021,45,X,1.77053,X,X,X,X,X,X,558,41,31516
States,South Dakota,2021,45,X,0.851417,X,X,X,X,X,X,82,30,9631
States,Tennessee,2021,45,X,1.8553,X,X,X,X,X,X,657,110,35412
States,Texas,2021,45,X,2.55344,X,X,X,X,X,X,1443,74,56512
States,Utah,2021,45,X,2.92151,X,X,X,X,X,X,616,47,21085
States,Vermont,2021,45,X,1.2418,X,X,X,X,X,X,70,14,5637
States,Virginia,2021,45,X,2.16275,X,X,X,X,X,X,2215,164,102416
States,Washington,2021,45,X,1.62292,X,X,X,X,X,X,520,70,32041
States,West Virginia,2021,45,X,1.22435,X,X,X,X,X,X,173,42,14130
States,Wisconsin,2021,45,X,1.17731,X,X,X,X,X,X,263,34,22339
States,Wyoming,2021,45,X,1.95109,X,X,X,X,X,X,71,11,3639
States,Commonwealth of the Northern Mariana Islands,2021,45,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2021,45,X,6.58571,X,X,X,X,X,X,141,8,2141
States,Virgin Islands,2021,45,X,0.394997,X,X,X,X,X,X,6,4,1519
States,New York City,2021,45,X,2.22906,X,X,X,X,X,X,1680,28,75368
States,Alabama,2021,46,X,2.47611,X,X,X,X,X,X,1184,101,47817
States,Alaska,2021,46,X,1.41757,X,X,X,X,X,X,46,12,3245
States,Arizona,2021,46,X,2.12144,X,X,X,X,X,X,254,30,11973
States,Arkansas,2021,46,X,2.21832,X,X,X,X,X,X,379,54,17085
States,California,2021,46,X,1.72431,X,X,X,X,X,X,2118,164,122832
States,Colorado,2021,46,X,2.62739,X,X,X,X,X,X,1123,83,42742
States,Connecticut,2021,46,X,1.64953,X,X,X,X,X,X,791,72,47953
States,Delaware,2021,46,X,1.07538,X,X,X,X,X,X,107,16,9950
States,District of Columbia,2021,46,X,4.28652,X,X,X,X,X,X,304,4,7092
States,Florida,2021,46,X,3.52811,X,X,X,X,X,X,8231,358,233298
States,Georgia,2021,46,X,3.96431,X,X,X,X,X,X,3092,107,77996
States,Hawaii,2021,46,X,1.49254,X,X,X,X,X,X,26,13,1742
States,Idaho,2021,46,X,1.48301,X,X,X,X,X,X,144,35,9710
States,Illinois,2021,46,X,1.43908,X,X,X,X,X,X,1094,183,76021
States,Indiana,2021,46,X,1.84841,X,X,X,X,X,X,1023,108,55345
States,Iowa,2021,46,X,1.36841,X,X,X,X,X,X,90,16,6577
States,Kansas,2021,46,X,1.38353,X,X,X,X,X,X,244,31,17636
States,Kentucky,2021,46,X,2.03022,X,X,X,X,X,X,747,82,36794
States,Louisiana,2021,46,X,1.34101,X,X,X,X,X,X,566,92,42207
States,Maine,2021,46,X,1.44477,X,X,X,X,X,X,223,53,15435
