"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Alabama,2021,40,142,0,0,0,0,0
States,Alaska,2021,40,X,X,X,X,X,X
States,Arizona,2021,40,469,0,0,0,0,0
States,Arkansas,2021,40,231,0,0,0,0,0
States,California,2021,40,1888,6,5,0.58,0.32,0.26
States,Colorado,2021,40,1106,0,0,0,0,0
States,Connecticut,2021,40,551,1,0,0.18,0.18,0
States,Delaware,2021,40,X,X,X,X,X,X
States,District of Columbia,2021,40,X,X,X,X,X,X
States,Florida,2021,40,650,1,1,0.31,0.15,0.15
States,Georgia,2021,40,921,3,4,0.76,0.33,0.43
States,Hawaii,2021,40,310,0,0,0,0,0
States,Idaho,2021,40,X,X,X,X,X,X
States,Illinois,2021,40,285,1,0,0.35,0.35,0
States,Indiana,2021,40,464,0,0,0,0,0
States,Iowa,2021,40,1153,0,1,0.09,0,0.09
States,Kansas,2021,40,149,0,0,0,0,0
States,Kentucky,2021,40,1211,0,0,0,0,0
States,Louisiana,2021,40,193,0,0,0,0,0
States,Maine,2021,40,304,0,0,0,0,0
States,Maryland,2021,40,629,1,2,0.48,0.16,0.32
States,Massachusetts,2021,40,1140,0,1,0.09,0,0.09
States,Michigan,2021,40,249,0,0,0,0,0
States,Minnesota,2021,40,1715,3,1,0.23,0.17,0.06
States,Mississippi,2021,40,36,0,0,0,0,0
States,Missouri,2021,40,1185,0,0,0,0,0
States,Montana,2021,40,463,0,0,0,0,0
States,Nebraska,2021,40,190,0,0,0,0,0
States,Nevada,2021,40,X,X,X,X,X,X
States,New Hampshire,2021,40,X,X,X,X,X,X
States,New Jersey,2021,40,X,X,X,X,X,X
States,New Mexico,2021,40,3101,1,0,0.03,0.03,0
States,New York,2021,40,4913,3,2,0.1,0.06,0.04
States,North Carolina,2021,40,X,X,X,X,X,X
States,North Dakota,2021,40,X,X,X,X,X,X
States,Ohio,2021,40,1549,1,0,0.06,0.06,0
States,Oklahoma,2021,40,595,0,0,0,0,0
States,Oregon,2021,40,3428,0,0,0,0,0
States,Pennsylvania,2021,40,567,0,0,0,0,0
States,Rhode Island,2021,40,X,X,X,X,X,X
States,South Carolina,2021,40,207,4,2,2.9,1.93,0.97
States,South Dakota,2021,40,1460,1,2,0.21,0.07,0.14
States,Tennessee,2021,40,38,0,0,0,0,0
States,Texas,2021,40,7558,4,5,0.12,0.05,0.07
States,Utah,2021,40,X,X,X,X,X,X
States,Vermont,2021,40,76,0,0,0,0,0
States,Virginia,2021,40,437,0,0,0,0,0
States,Washington,2021,40,1332,0,0,0,0,0
States,West Virginia,2021,40,1470,0,0,0,0,0
States,Wisconsin,2021,40,6560,8,9,0.26,0.12,0.14
States,Wyoming,2021,40,X,X,X,X,X,X
States,Puerto Rico,2021,40,0,0,0,0,0,0
States,Virgin Islands,2021,40,X,X,X,X,X,X
States,New York City,2021,40,X,X,X,X,X,X
States,Alabama,2021,41,531,0,0,0,0,0
States,Alaska,2021,41,X,X,X,X,X,X
States,Arizona,2021,41,427,0,0,0,0,0
States,Arkansas,2021,41,222,0,1,0.45,0,0.45
States,California,2021,41,2297,7,4,0.48,0.3,0.17
States,Colorado,2021,41,925,0,0,0,0,0
States,Connecticut,2021,41,640,0,0,0,0,0
States,Delaware,2021,41,X,X,X,X,X,X
States,District of Columbia,2021,41,X,X,X,X,X,X
States,Florida,2021,41,609,0,1,0.16,0,0.16
States,Georgia,2021,41,982,0,6,0.61,0,0.61
States,Hawaii,2021,41,272,0,0,0,0,0
States,Idaho,2021,41,47,0,0,0,0,0
States,Illinois,2021,41,216,1,1,0.93,0.46,0.46
States,Indiana,2021,41,409,0,0,0,0,0
States,Iowa,2021,41,716,0,0,0,0,0
States,Kansas,2021,41,148,0,0,0,0,0
States,Kentucky,2021,41,1173,0,0,0,0,0
States,Louisiana,2021,41,239,0,1,0.42,0,0.42
States,Maine,2021,41,299,0,0,0,0,0
States,Maryland,2021,41,649,0,0,0,0,0
States,Massachusetts,2021,41,1125,0,1,0.09,0,0.09
States,Michigan,2021,41,209,0,0,0,0,0
States,Minnesota,2021,41,1433,1,1,0.14,0.07,0.07
States,Mississippi,2021,41,25,0,0,0,0,0
States,Missouri,2021,41,1420,0,0,0,0,0
States,Montana,2021,41,563,0,1,0.18,0,0.18
States,Nebraska,2021,41,209,0,0,0,0,0
States,Nevada,2021,41,X,X,X,X,X,X
States,New Hampshire,2021,41,X,X,X,X,X,X
States,New Jersey,2021,41,X,X,X,X,X,X
States,New Mexico,2021,41,3153,1,0,0.03,0.03,0
States,New York,2021,41,4537,4,2,0.13,0.09,0.04
States,North Carolina,2021,41,X,X,X,X,X,X
States,North Dakota,2021,41,X,X,X,X,X,X
States,Ohio,2021,41,1225,3,3,0.49,0.24,0.24
States,Oklahoma,2021,41,625,0,0,0,0,0
States,Oregon,2021,41,3744,0,0,0,0,0
States,Pennsylvania,2021,41,540,0,0,0,0,0
States,Rhode Island,2021,41,X,X,X,X,X,X
States,South Carolina,2021,41,237,1,1,0.84,0.42,0.42
States,South Dakota,2021,41,1392,0,1,0.07,0,0.07
States,Tennessee,2021,41,31,0,0,0,0,0
States,Texas,2021,41,4399,2,4,0.14,0.05,0.09
States,Utah,2021,41,X,X,X,X,X,X
States,Vermont,2021,41,120,0,0,0,0,0
States,Virginia,2021,41,436,0,1,0.23,0,0.23
States,Washington,2021,41,1533,0,0,0,0,0
States,West Virginia,2021,41,1548,2,1,0.19,0.13,0.06
States,Wisconsin,2021,41,6228,2,2,0.06,0.03,0.03
States,Wyoming,2021,41,X,X,X,X,X,X
States,Puerto Rico,2021,41,0,0,0,0,0,0
States,Virgin Islands,2021,41,X,X,X,X,X,X
States,New York City,2021,41,X,X,X,X,X,X
States,Alabama,2021,42,173,0,0,0,0,0
States,Alaska,2021,42,X,X,X,X,X,X
States,Arizona,2021,42,395,0,0,0,0,0
States,Arkansas,2021,42,249,0,2,0.8,0,0.8
States,California,2021,42,2346,5,1,0.26,0.21,0.04
States,Colorado,2021,42,1637,1,0,0.06,0.06,0
States,Connecticut,2021,42,679,0,0,0,0,0
States,Delaware,2021,42,X,X,X,X,X,X
States,District of Columbia,2021,42,X,X,X,X,X,X
States,Florida,2021,42,658,1,0,0.15,0.15,0
States,Georgia,2021,42,1271,0,4,0.31,0,0.31
States,Hawaii,2021,42,382,0,0,0,0,0
States,Idaho,2021,42,107,0,0,0,0,0
States,Illinois,2021,42,219,0,0,0,0,0
States,Indiana,2021,42,435,0,0,0,0,0
States,Iowa,2021,42,1109,0,0,0,0,0
States,Kansas,2021,42,143,0,0,0,0,0
States,Kentucky,2021,42,1134,0,0,0,0,0
States,Louisiana,2021,42,204,1,0,0.49,0.49,0
States,Maine,2021,42,300,0,0,0,0,0
States,Maryland,2021,42,596,0,0,0,0,0
States,Massachusetts,2021,42,966,0,1,0.1,0,0.1
States,Michigan,2021,42,245,0,0,0,0,0
States,Minnesota,2021,42,1413,2,0,0.14,0.14,0
States,Mississippi,2021,42,32,0,0,0,0,0
States,Missouri,2021,42,1718,1,1,0.12,0.06,0.06
States,Montana,2021,42,733,0,0,0,0,0
States,Nebraska,2021,42,238,0,0,0,0,0
States,Nevada,2021,42,X,X,X,X,X,X
States,New Hampshire,2021,42,X,X,X,X,X,X
States,New Jersey,2021,42,X,X,X,X,X,X
States,New Mexico,2021,42,3939,0,0,0,0,0
States,New York,2021,42,4535,2,4,0.13,0.04,0.09
States,North Carolina,2021,42,X,X,X,X,X,X
States,North Dakota,2021,42,X,X,X,X,X,X
States,Ohio,2021,42,1226,0,3,0.24,0,0.24
States,Oklahoma,2021,42,717,0,0,0,0,0
States,Oregon,2021,42,3774,0,2,0.05,0,0.05
States,Pennsylvania,2021,42,694,0,0,0,0,0
States,Rhode Island,2021,42,X,X,X,X,X,X
States,South Carolina,2021,42,280,0,0,0,0,0
States,South Dakota,2021,42,1170,0,1,0.09,0,0.09
States,Tennessee,2021,42,30,0,0,0,0,0
States,Texas,2021,42,4446,4,10,0.31,0.09,0.22
States,Utah,2021,42,X,X,X,X,X,X
States,Vermont,2021,42,194,0,0,0,0,0
States,Virginia,2021,42,496,0,0,0,0,0
States,Washington,2021,42,1506,0,0,0,0,0
States,West Virginia,2021,42,1533,0,1,0.07,0,0.07
States,Wisconsin,2021,42,6190,7,9,0.26,0.11,0.15
States,Wyoming,2021,42,X,X,X,X,X,X
States,Puerto Rico,2021,42,0,0,0,0,0,0
States,Virgin Islands,2021,42,X,X,X,X,X,X
States,New York City,2021,42,X,X,X,X,X,X
States,Alabama,2021,43,291,1,1,0.69,0.34,0.34
States,Alaska,2021,43,X,X,X,X,X,X
States,Arizona,2021,43,462,0,0,0,0,0
States,Arkansas,2021,43,266,0,0,0,0,0
States,California,2021,43,5664,19,2,0.37,0.34,0.04
States,Colorado,2021,43,1136,1,1,0.18,0.09,0.09
States,Connecticut,2021,43,642,3,0,0.47,0.47,0
States,Delaware,2021,43,X,X,X,X,X,X
States,District of Columbia,2021,43,X,X,X,X,X,X
States,Florida,2021,43,764,4,0,0.52,0.52,0
States,Georgia,2021,43,1396,5,7,0.86,0.36,0.5
States,Hawaii,2021,43,378,0,0,0,0,0
States,Idaho,2021,43,57,0,0,0,0,0
States,Illinois,2021,43,234,2,0,0.85,0.85,0
States,Indiana,2021,43,392,0,1,0.26,0,0.26
States,Iowa,2021,43,1110,0,0,0,0,0
States,Kansas,2021,43,158,0,0,0,0,0
States,Kentucky,2021,43,1153,1,0,0.09,0.09,0
States,Louisiana,2021,43,166,1,1,1.2,0.6,0.6
States,Maine,2021,43,274,0,0,0,0,0
States,Maryland,2021,43,622,40,0,6.43,6.43,0
States,Massachusetts,2021,43,845,0,0,0,0,0
States,Michigan,2021,43,414,0,0,0,0,0
States,Minnesota,2021,43,1488,2,0,0.13,0.13,0
States,Mississippi,2021,43,39,0,1,2.56,0,2.56
States,Missouri,2021,43,1747,0,2,0.11,0,0.11
States,Montana,2021,43,724,0,0,0,0,0
States,Nebraska,2021,43,217,0,0,0,0,0
States,Nevada,2021,43,X,X,X,X,X,X
States,New Hampshire,2021,43,X,X,X,X,X,X
States,New Jersey,2021,43,X,X,X,X,X,X
States,New Mexico,2021,43,3232,0,1,0.03,0,0.03
States,New York,2021,43,4825,1,2,0.06,0.02,0.04
States,North Carolina,2021,43,X,X,X,X,X,X
States,North Dakota,2021,43,X,X,X,X,X,X
States,Ohio,2021,43,1242,3,1,0.32,0.24,0.08
States,Oklahoma,2021,43,786,1,0,0.13,0.13,0
States,Oregon,2021,43,4076,1,3,0.1,0.02,0.07
States,Pennsylvania,2021,43,563,1,0,0.18,0.18,0
States,Rhode Island,2021,43,X,X,X,X,X,X
States,South Carolina,2021,43,232,0,0,0,0,0
