,State,163,171,178,185,192,199,206,213,220,227,234,241,248
0,Washington,1352,45,45,46,46,47,53,58,62,64,65,66,67
1,Illinois,7005,182,196,196,195,196,203,223,237,243,239,228,212
2,California,6315,459,439,453,509,555,586,601,601,589,567,538,502
3,Arizona,1798,275,280,313,344,362,365,353,331,301,266,231,197
4,Massachusetts,8149,137,117,103,96,92,89,91,96,97,95,90,83
5,Wisconsin,796,34,39,41,44,50,55,59,62,63,62,60,57
6,Texas,2907,246,291,338,379,413,437,451,455,451,439,420,396
7,Nebraska,284,21,20,20,21,20,20,19,18,17,16,15,14
8,Utah,181,15,19,21,24,25,26,27,28,27,27,26,25
9,Oregon,209,11,13,15,19,22,25,28,30,32,32,33,33
10,Florida,3684,322,369,413,447,467,473,464,445,418,386,352,316
11,New York,32192,124,118,106,96,88,86,87,87,84,79,73,67
12,Rhode Island,960,36,33,32,31,30,30,30,29,27,25,21,18
13,Georgia,2857,167,206,224,251,282,305,318,320,312,295,273,246
14,New Hampshire,376,18,17,17,17,18,19,21,22,23,23,22,20
15,North Carolina,1419,95,103,113,125,135,142,145,145,142,136,128,119
16,New Jersey,15164,156,119,99,89,83,79,81,84,85,83,79,73
17,Colorado,1701,39,42,43,44,44,49,54,58,60,60,59,57
18,Maryland,3223,92,92,90,89,89,91,99,105,107,106,101,94
19,Nevada,528,30,32,36,41,49,58,65,70,73,75,74,72
20,Tennessee,633,63,75,90,103,114,123,129,131,131,128,123,116
21,Hawaii,19,0,0,0,0,0,0,0,0,0,0,0,0
22,Indiana,2681,75,77,77,78,79,86,92,96,96,94,90,84
23,Kentucky,585,32,29,30,31,33,38,41,44,46,47,47,46
24,Minnesota,1503,59,60,60,62,64,67,76,84,90,93,93,91
25,Oklahoma,398,18,17,18,20,22,23,24,25,26,26,26,25
26,Pennsylvania,6746,166,158,154,150,151,160,165,166,162,154,145,134
27,South Carolina,793,91,97,114,131,145,155,158,157,151,141,129,116
28,District of Columbia,555,11,11,10,10,10,9,10,10,10,10,9,8
29,Kansas,282,11,10,10,10,11,11,11,12,11,11,11,11
30,Missouri,1047,41,40,40,41,45,49,51,52,52,51,50,48
31,Vermont,56,0,0,0,0,1,1,1,1,2,2,2,3
32,Virginia,1845,72,62,60,61,67,79,91,100,107,111,111,109
33,Connecticut,4335,38,38,34,32,30,28,29,29,28,27,25,22
34,Iowa,721,23,23,21,20,20,18,17,16,14,13,12,10
35,Louisiana,3278,90,93,97,104,118,129,136,138,135,129,120,108
36,Ohio,2903,111,114,117,120,123,134,150,162,170,173,170,164
37,Michigan,6215,73,68,68,70,75,86,96,104,110,113,113,110
38,South Dakota,97,7,7,7,7,7,6,6,6,6,5,5,5
39,Arkansas,281,36,40,46,53,58,62,64,64,63,60,57,53
40,Delaware,512,11,12,12,12,12,12,12,12,12,11,10,10
41,Mississippi,1103,85,89,91,99,105,107,106,100,92,82,72,62
42,New Mexico,511,22,23,24,24,25,25,28,30,31,32,31,30
43,North Dakota,80,2,3,2,2,2,2,2,1,1,1,1,1
44,Wyoming,20,1,1,0,0,0,0,0,0,0,0,0,0
45,Alaska,15,0,1,1,1,1,1,1,1,1,1,1,1
46,Maine,105,2,2,2,2,2,3,3,3,3,3,4,4
47,Alabama,1006,97,104,117,139,159,174,182,182,175,163,147,129
48,Idaho,93,2,3,3,4,5,7,8,9,10,11,11,12
49,Montana,23,1,1,1,1,1,1,2,2,2,2,2,2
50,Puerto Rico,154,2,3,3,3,3,4,4,5,5,5,6,6
51,Virgin Islands,6,0,0,0,0,0,0,0,0,0,0,0,0
52,Guam,5,0,0,0,0,0,0,0,0,0,0,0,0
53,West Virginia,93,2,2,2,2,2,2,1,1,1,1,1,1
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
