,State,207,213,220,227,234,241,248,255,262,269,276,283
0,Washington,1781,96,100,100,98,96,94,92,91,92,94,97
1,Illinois,7955,148,159,162,159,153,146,139,135,131,130,131
2,California,11243,919,882,839,793,745,698,656,618,587,563,545
3,Arizona,4506,360,321,283,247,214,185,160,139,122,108,97
4,Massachusetts,8838,110,117,118,113,105,96,88,81,77,73,71
5,Wisconsin,1039,53,54,54,53,52,52,52,52,53,55,58
6,Texas,10396,1258,1168,1068,964,860,762,673,595,529,473,426
7,Nebraska,361,16,16,16,15,14,14,13,13,13,13,13
8,Utah,363,30,30,29,28,28,27,27,27,27,27,28
9,Oregon,388,35,35,35,35,35,35,36,37,38,40,43
10,Florida,9452,1141,1050,945,837,733,637,552,479,419,369,328
11,New York,32816,65,59,52,45,39,33,29,26,23,22,20
12,Rhode Island,1021,10,10,10,10,9,8,8,7,7,7,7
13,Georgia,4702,421,398,365,328,292,258,228,202,181,163,149
14,New Hampshire,423,9,9,8,8,7,7,7,7,7,7,8
15,North Carolina,2347,170,165,159,153,146,140,135,131,129,128,128
16,New Jersey,15912,50,47,43,38,34,29,26,23,20,19,18
17,Colorado,1896,44,43,42,41,40,39,39,38,39,40,41
18,Maryland,3639,90,96,97,94,89,84,79,74,71,70,69
19,Nevada,1072,118,112,104,96,87,78,71,64,58,53,49
20,Tennessee,1366,130,125,120,114,108,103,98,94,91,89,88
21,Hawaii,40,9,11,12,12,13,13,13,13,14,15,16
22,Indiana,3133,104,109,108,105,100,96,92,89,87,87,87
23,Kentucky,810,42,42,42,41,41,40,40,40,41,42,45
24,Minnesota,1752,49,50,49,47,45,43,42,41,40,40,41
25,Oklahoma,661,53,53,53,52,52,51,51,52,52,54,56
26,Pennsylvania,7453,114,116,114,110,106,102,98,96,96,97,101
27,South Carolina,2269,253,232,211,190,170,150,133,119,106,96,88
28,District of Columbia,597,6,6,6,5,5,4,4,4,3,3,3
29,Kansas,406,25,25,25,25,24,24,24,24,25,25,27
30,Missouri,1383,64,64,64,63,63,63,63,64,66,69,73
31,Vermont,58,0,1,1,1,1,1,1,1,1,1,2
32,Virginia,2381,103,108,107,104,100,96,92,90,88,87,88
33,Connecticut,4453,13,13,12,11,11,10,9,9,9,9,9
34,Iowa,975,51,50,48,46,44,42,41,39,39,38,38
35,Louisiana,4507,200,179,158,137,119,103,89,78,69,62,56
36,Ohio,3826,163,160,157,154,151,148,146,145,146,149,154
37,Michigan,6592,69,72,72,70,68,66,65,64,65,66,69
38,South Dakota,153,8,8,7,7,7,7,6,6,6,6,6
39,Arkansas,599,63,61,59,56,53,50,48,45,43,42,41
40,Delaware,593,8,8,7,7,7,6,6,6,6,6,6
41,Mississippi,2084,186,169,151,132,114,98,84,72,62,53,47
42,New Mexico,714,34,33,32,31,30,29,29,28,28,28,29
43,North Dakota,125,8,8,8,8,8,8,8,8,8,8,9
44,Wyoming,30,1,1,1,1,1,1,1,1,1,1,2
45,Alaska,28,2,2,2,3,3,3,3,3,3,3,4
46,Maine,127,2,2,2,2,2,2,2,2,2,3,3
47,Alabama,1898,139,129,118,108,97,88,80,73,67,62,59
48,Idaho,269,41,40,39,37,35,33,32,30,29,28,27
49,Montana,82,12,12,12,12,12,12,12,12,13,14,15
50,Puerto Rico,335,68,74,76,76,74,72,70,68,67,67,67
51,Virgin Islands,9,0,0,0,0,0,0,0,0,0,0,0
52,Guam,5,0,0,0,0,0,0,0,0,0,0,0
53,West Virginia,160,24,25,26,26,26,27,27,27,28,29,30
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
