,State,158,164,171,178,185
0,Washington,1310,14,23,35,40
1,Illinois,6888,23,21,20,20
2,California,5932,122,182,233,261
3,Arizona,1594,81,106,130,137
4,Massachusetts,8060,11,8,6,5
5,Wisconsin,777,7,8,11,12
6,Texas,2628,147,278,390,455
7,Nebraska,267,3,3,3,3
8,Utah,167,9,13,16,18
9,Oregon,202,6,9,14,15
10,Florida,3419,242,538,792,945
11,New York,32078,18,16,15,15
12,Rhode Island,927,1,2,2,2
13,Georgia,2778,46,71,87,93
14,New Hampshire,367,2,1,0,0
15,North Carolina,1352,56,69,75,82
16,New Jersey,14975,16,11,10,9
17,Colorado,1676,6,7,8,8
18,Maryland,3168,10,7,5,4
19,Nevada,500,20,33,48,58
20,Tennessee,584,21,26,28,33
21,Hawaii,18,0,0,0,0
22,Indiana,2619,9,9,10,8
23,Kentucky,558,7,10,12,12
24,Minnesota,1460,15,17,18,19
25,Oklahoma,385,9,14,22,23
26,Pennsylvania,6606,24,26,27,27
27,South Carolina,716,67,127,172,196
28,District of Columbia,550,1,1,1,0
29,Kansas,269,6,9,13,13
30,Missouri,1014,19,30,43,47
31,Vermont,56,0,0,0,0
32,Virginia,1732,14,16,18,17
33,Connecticut,4316,4,3,3,3
34,Iowa,706,8,13,18,21
35,Louisiana,3199,20,33,44,51
36,Ohio,2807,30,46,62,73
37,Michigan,6157,10,11,11,12
38,South Dakota,91,0,0,1,1
39,Arkansas,264,23,38,48,55
40,Delaware,507,2,2,2,3
41,Mississippi,1039,27,49,67,82
42,New Mexico,492,4,6,6,7
43,North Dakota,79,0,0,0,0
44,Wyoming,20,0,0,0,0
45,Alaska,14,0,0,0,0
46,Maine,104,0,0,0,0
47,Alabama,919,41,57,67,71
48,Idaho,91,0,1,1,2
49,Montana,22,0,0,0,0
50,Puerto Rico,153,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN
53,West Virginia,93,2,4,5,7
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
