,State,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
0,Washington,1157,39,37,35,33,31,29,27,26,24,23,21,20,19,18
1,Illinois,5904,263,252,241,230,219,208,198,188,178,168,160,151,144,135
2,California,4632,220,218,215,213,211,206,200,200,198,195,189,192,173,181
3,Arizona,1051,61,59,56,54,52,49,47,44,43,40,39,37,35,33
4,Massachusetts,7316,168,159,149,140,131,123,116,108,101,94,89,82,77,72
5,Wisconsin,647,46,44,41,38,35,33,31,29,27,25,24,21,21,19
6,Texas,1841,124,123,120,116,113,110,106,103,100,95,92,88,85,82
7,Nebraska,187,24,23,22,20,19,17,17,15,14,13,12,12,10,10
8,Utah,121,20,18,18,16,15,14,13,12,12,10,10,9,9,8
9,Oregon,163,7,6,7,5,6,5,5,4,4,4,3,4,3,3
10,Florida,2700,149,153,154,155,156,155,156,155,155,154,150,151,148,142
11,New York,30374,539,502,468,436,407,378,353,329,306,286,266,248,231,215
12,Rhode Island,772,47,43,41,38,35,33,31,28,26,25,23,21,20,18
13,Georgia,2180,123,114,107,99,93,86,80,75,70,64,61,56,52,49
14,New Hampshire,286,10,9,10,9,9,9,8,8,8,7,7,7,7,6
15,North Carolina,1032,114,106,99,92,86,79,74,69,64,60,55,52,48,44
16,New Jersey,12176,259,251,243,234,227,219,212,205,197,191,185,178,171,166
17,Colorado,1527,59,56,51,49,44,42,39,36,34,31,30,27,25,24
18,Maryland,2749,117,112,107,102,97,93,88,84,80,76,72,69,65,62
19,Nevada,438,16,16,15,15,14,13,12,12,11,11,10,9,10,9
20,Tennessee,418,41,39,37,34,31,30,27,26,24,22,21,20,18,17
21,Hawaii,17,1,1,0,1,1,1,0,1,1,0,1,0,1,0
22,Indiana,2303,68,68,68,66,65,65,64,63,62,60,60,59,58,55
23,Kentucky,470,19,18,17,16,15,14,13,12,12,11,10,9,9,8
24,Minnesota,1197,64,62,60,57,55,53,52,50,48,47,46,43,42,40
25,Oklahoma,348,17,17,15,14,14,12,11,11,10,9,9,8,8,6
26,Pennsylvania,5943,173,167,163,157,153,147,143,139,131,127,121,116,111,108
27,South Carolina,546,22,22,22,20,20,19,19,17,18,17,17,16,16,14
28,District of Columbia,489,15,15,14,13,13,12,11,11,10,9,9,8,9,7
29,Kansas,233,16,15,15,13,13,11,11,10,10,8,8,8,7,7
30,Missouri,850,0,34,31,29,28,25,23,22,21,19,18,16,16,14
31,Vermont,55,1,2,1,1,2,1,1,1,1,1,0,1,1,0
32,Virginia,1472,116,119,110,103,95,89,83,77,72,67,62,58,54,50
33,Connecticut,4071,90,84,79,74,68,64,60,55,52,48,45,42,39,37
34,Iowa,605,69,65,60,56,52,48,45,42,39,36,33,32,29,27
35,Louisiana,2936,66,65,64,62,61,58,56,53,51,49,46,43,42,39
36,Ohio,2379,85,80,76,72,67,63,60,55,52,49,46,42,40,37
37,Michigan,5927,114,137,128,119,110,104,96,90,84,78,73,68,63,59
38,South Dakota,65,8,8,7,7,7,6,5,5,5,5,4,4,4,3
39,Arkansas,154,15,16,16,15,16,15,15,14,15,14,13,13,12,12
40,Delaware,398,17,17,16,15,15,14,14,13,12,12,12,11,11,10
41,Mississippi,817,50,46,44,40,38,35,33,30,29,26,25,23,21,20
42,New Mexico,396,15,14,14,13,12,12,11,10,9,9,9,7,8,7
43,North Dakota,72,4,5,5,4,5,4,5,4,4,5,4,3,4,3
44,Wyoming,17,2,1,2,2,1,2,1,1,1,2,1,0,1,1
45,Alaska,10,0,1,1,1,0,1,1,0,1,0,0,1,0,1
46,Maine,99,4,4,4,4,4,3,3,3,3,2,3,2,2,2
47,Alabama,692,40,39,36,35,33,31,29,28,26,25,24,22,21,20
48,Idaho,83,4,5,4,4,4,3,4,3,2,3,2,3,2,2
49,Montana,18,0,1,1,1,0,1,1,0,1,0,1,0,1,0
50,Puerto Rico,142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,84,3,4,4,4,5,4,5,4,5,5,5,4,5,5
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
