,State,189,199,206,213,220,227,234,241,248,255,262,269,276,283
0,Washington,1555,41,45,47,48,47,46,44,43,42,42,42,43,44
1,Illinois,7654,113,129,142,148,147,142,135,127,121,116,113,110,110
2,California,8908,816,814,792,760,723,684,644,606,573,544,521,504,492
3,Arizona,3454,474,436,394,350,307,266,228,194,166,142,122,105,92
4,Massachusetts,8580,64,70,78,83,84,80,74,67,62,57,53,50,48
5,Wisconsin,911,58,68,74,76,76,74,72,70,68,67,66,66,67
6,Texas,7066,1088,1071,1026,965,897,824,751,680,617,560,511,468,433
7,Nebraska,324,17,16,15,15,14,13,13,12,12,11,11,11,11
8,Utah,292,40,42,42,42,41,40,40,39,38,38,38,38,39
9,Oregon,311,41,45,47,48,49,49,49,49,49,50,51,52,55
10,Florida,6333,959,927,864,787,707,627,550,480,419,366,322,284,254
11,New York,32654,110,113,112,107,98,87,76,67,60,54,49,46,43
12,Rhode Island,1007,15,16,15,15,13,12,11,10,9,8,8,7,7
13,Georgia,3642,323,328,316,296,273,250,226,205,185,168,154,142,132
14,New Hampshire,411,10,10,10,9,9,9,9,8,8,8,8,8,8
15,North Carolina,1888,158,161,160,157,153,148,143,139,135,132,130,129,130
16,New Jersey,15798,78,79,80,78,74,67,60,53,47,43,39,36,35
17,Colorado,1822,47,49,50,49,48,47,46,45,44,44,45,46,47
18,Maryland,3478,87,109,128,139,141,134,125,115,106,98,91,86,82
19,Nevada,780,89,89,86,81,76,71,66,61,56,52,48,45,43
20,Tennessee,1020,127,126,123,119,115,110,105,100,96,92,89,86,85
21,Hawaii,26,2,3,3,3,4,4,4,4,4,5,5,5,6
22,Indiana,2932,113,130,138,138,133,126,118,111,105,99,95,92,90
23,Kentucky,724,63,76,85,88,87,84,80,76,72,69,67,65,63
24,Minnesota,1629,42,47,51,54,54,53,50,48,46,45,43,43,42
25,Oklahoma,523,50,53,54,54,53,53,52,51,51,51,51,52,53
26,Pennsylvania,7171,113,133,151,161,163,159,153,148,143,139,137,136,137
27,South Carolina,1615,312,308,293,272,248,223,199,176,155,137,122,108,97
28,District of Columbia,584,4,5,5,5,5,5,4,4,4,3,3,3,3
29,Kansas,349,23,23,23,23,23,23,23,23,23,23,24,25,26
30,Missouri,1239,91,106,113,115,114,112,109,107,105,103,103,103,104
31,Vermont,56,0,0,0,1,1,1,1,1,1,1,1,2,2
32,Virginia,2125,61,73,84,91,94,93,90,87,84,82,81,81,81
33,Connecticut,4425,17,18,20,20,19,18,17,16,15,15,14,14,14
34,Iowa,854,48,52,52,51,49,46,43,41,39,37,36,35,34
35,Louisiana,3883,198,201,190,172,153,134,117,102,89,78,70,63,58
36,Ohio,3422,164,166,164,161,158,154,150,147,145,143,143,144,147
37,Michigan,6422,37,39,40,40,38,37,35,34,33,33,33,33,35
38,South Dakota,129,7,7,6,6,6,6,5,5,5,5,5,5,5
39,Arkansas,434,56,56,56,54,52,50,48,46,44,42,40,39,38
40,Delaware,581,7,8,8,7,7,7,6,6,6,5,5,5,5
41,Mississippi,1563,155,169,169,158,142,125,109,94,81,70,61,54,48
42,New Mexico,632,41,42,41,40,38,35,33,31,29,27,26,25,24
43,North Dakota,102,7,8,8,8,8,8,8,8,8,8,8,8,8
44,Wyoming,26,1,1,1,1,1,1,1,1,1,1,1,2,2
45,Alaska,22,4,4,4,5,5,5,5,5,5,5,6,6,7
46,Maine,121,2,2,3,3,3,3,3,4,4,4,4,4,5
47,Alabama,1538,199,199,190,176,160,144,128,113,99,88,78,70,63
48,Idaho,173,39,43,45,44,43,41,39,37,35,34,32,31,29
49,Montana,54,12,13,14,14,14,14,14,14,14,14,15,15,16
50,Puerto Rico,211,34,42,47,50,50,50,49,48,48,47,47,48,49
51,Virgin Islands,8,0,0,0,1,1,1,1,1,1,1,1,1,1
52,Guam,5,0,0,0,0,0,0,0,0,0,0,0,0,0
53,West Virginia,111,5,5,5,6,6,6,6,6,7,7,7,8,9
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
