,State,155,164,171,178
0,Washington,1300,13,18,20
1,Illinois,6810,17,16,14
2,California,5806,113,142,152
3,Arizona,1495,82,110,131
4,Massachusetts,7963,13,8,5
5,Wisconsin,766,8,8,10
6,Texas,2514,169,302,388
7,Nebraska,260,5,6,6
8,Utah,164,11,14,17
9,Oregon,197,10,14,19
10,Florida,3327,203,349,472
11,New York,32007,21,16,15
12,Rhode Island,920,3,3,3
13,Georgia,2745,47,69,89
14,New Hampshire,357,1,1,0
15,North Carolina,1336,50,59,61
16,New Jersey,14872,13,11,10
17,Colorado,1669,4,4,4
18,Maryland,3129,9,6,5
19,Nevada,495,17,27,30
20,Tennessee,567,20,29,33
21,Hawaii,17,0,0,0
22,Indiana,2586,9,9,7
23,Kentucky,546,4,5,6
24,Minnesota,1441,15,12,13
25,Oklahoma,375,13,24,27
26,Pennsylvania,6557,20,23,24
27,South Carolina,693,35,52,63
28,District of Columbia,543,2,2,2
29,Kansas,262,2,5,5
30,Missouri,1000,13,18,22
31,Vermont,56,0,0,0
32,Virginia,1675,15,14,15
33,Connecticut,4298,5,4,4
34,Iowa,696,6,9,10
35,Louisiana,3164,28,42,52
36,Ohio,2772,15,18,20
37,Michigan,6133,9,8,8
38,South Dakota,87,1,1,1
39,Arkansas,240,24,35,45
40,Delaware,507,1,0,0
41,Mississippi,1016,17,26,31
42,New Mexico,485,3,3,4
43,North Dakota,78,0,0,0
44,Wyoming,20,0,0,0
45,Alaska,12,0,0,0
46,Maine,103,1,0,0
47,Alabama,896,36,43,52
48,Idaho,90,1,2,3
49,Montana,21,0,0,0
50,Puerto Rico,151,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN
53,West Virginia,92,0,2,3
54,Northern Mariana Islands,2,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
