,State,203,213,220,227,234,241,248,255,262,269,276,283
0,Washington,1724,100,105,106,104,102,99,97,97,97,98,101
1,Illinois,7881,154,166,170,167,161,154,147,142,139,138,138
2,California,10753,919,885,845,800,754,709,667,631,600,576,559
3,Arizona,4347,353,315,279,244,211,183,158,138,121,108,97
4,Massachusetts,8769,107,114,115,110,102,94,86,80,75,72,71
5,Wisconsin,1011,56,57,58,57,57,57,57,57,59,61,64
6,Texas,9527,1321,1208,1088,966,848,739,642,559,488,430,382
7,Nebraska,356,16,16,16,15,14,14,13,13,13,13,13
8,Utah,351,33,32,32,31,31,30,30,30,30,31,32
9,Oregon,375,37,37,38,38,38,39,39,41,42,45,48
10,Florida,8765,1092,1006,907,806,708,617,537,468,411,363,324
11,New York,32778,65,59,52,45,39,33,29,26,23,22,20
12,Rhode Island,1018,10,10,10,10,9,8,8,7,7,7,7
13,Georgia,4456,399,382,353,319,285,252,223,199,178,161,147
14,New Hampshire,420,9,9,8,8,8,7,7,7,7,8,8
15,North Carolina,2280,176,171,166,160,153,147,142,139,136,135,136
16,New Jersey,15885,51,48,44,40,35,30,26,23,21,20,18
17,Colorado,1875,46,45,44,43,42,41,40,40,40,41,43
18,Maryland,3612,96,104,105,102,96,90,85,80,76,74,73
19,Nevada,996,107,102,95,87,80,73,66,60,55,51,48
20,Tennessee,1289,132,128,123,118,112,106,102,98,95,93,92
21,Hawaii,38,8,10,11,11,12,12,12,13,13,14,15
22,Indiana,3086,105,110,109,106,102,97,93,90,88,88,89
23,Kentucky,790,41,42,41,41,41,40,40,40,41,43,45
24,Minnesota,1724,54,55,54,53,50,48,46,45,44,44,44
25,Oklahoma,627,51,51,51,51,50,50,50,50,51,53,55
26,Pennsylvania,7380,104,105,103,100,96,92,89,88,87,89,92
27,South Carolina,2144,251,231,210,190,169,151,134,119,107,97,89
28,District of Columbia,593,6,6,6,5,5,4,4,4,4,3,3
29,Kansas,397,27,27,27,26,26,26,26,26,27,28,29
30,Missouri,1354,67,67,67,67,66,66,67,68,70,73,78
31,Vermont,58,0,1,1,1,1,1,1,1,1,1,2
32,Virginia,2352,141,151,152,149,143,136,129,124,120,117,115
33,Connecticut,4450,13,13,12,11,11,10,9,9,9,9,9
34,Iowa,953,51,51,49,47,45,43,42,40,39,39,39
35,Louisiana,4356,203,182,161,141,122,106,92,80,71,64,58
36,Ohio,3734,159,157,155,152,149,146,145,144,146,149,154
37,Michigan,6539,66,68,68,67,65,63,62,62,63,65,68
38,South Dakota,147,8,8,7,7,7,6,6,6,6,6,6
39,Arkansas,572,66,64,62,59,56,53,50,48,46,44,43
40,Delaware,592,8,8,8,7,7,6,6,6,6,6,6
41,Mississippi,1989,180,165,147,129,112,96,83,71,62,54,47
42,New Mexico,695,35,34,34,33,32,31,30,30,29,30,30
43,North Dakota,120,9,10,10,10,9,9,9,9,9,10,10
44,Wyoming,29,1,1,1,1,1,1,1,1,1,1,2
45,Alaska,27,2,2,2,2,3,3,3,3,3,3,4
46,Maine,126,2,2,2,2,2,2,2,2,2,3,3
47,Alabama,1882,154,144,133,122,110,100,90,82,75,70,65
48,Idaho,246,44,43,42,40,38,36,34,32,31,30,29
49,Montana,80,13,13,13,13,14,14,14,15,16,17,18
50,Puerto Rico,295,57,62,63,63,62,61,60,59,59,59,60
51,Virgin Islands,9,0,0,0,0,1,1,1,1,1,1,1
52,Guam,5,0,0,0,0,0,0,0,0,0,0,0
53,West Virginia,153,23,25,26,26,27,27,27,27,28,29,30
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
