,State,162,171,178,185,192
0,Washington,1342,51,50,59,62
1,Illinois,6987,141,123,111,100
2,California,6265,851,1005,1174,1265
3,Arizona,1764,414,493,563,609
4,Massachusetts,8132,86,79,84,86
5,Wisconsin,793,71,96,125,145
6,Texas,2835,636,840,1020,1061
7,Nebraska,282,17,12,7,7
8,Utah,176,43,42,39,36
9,Oregon,209,14,14,14,14
10,Florida,3617,964,1169,1340,1465
11,New York,32112,187,167,156,150
12,Rhode Island,959,18,14,7,7
13,Georgia,2849,293,375,456,508
14,New Hampshire,375,7,5,1,0
15,North Carolina,1409,220,198,193,200
16,New Jersey,15107,138,117,114,110
17,Colorado,1701,27,27,28,28
18,Maryland,3212,68,89,114,127
19,Nevada,525,79,111,134,150
20,Tennessee,620,154,225,288,332
21,Hawaii,18,0,0,0,0
22,Indiana,2662,53,49,52,52
23,Kentucky,581,21,21,21,22
24,Minnesota,1495,65,64,70,70
25,Oklahoma,395,29,28,34,37
26,Pennsylvania,6712,139,154,187,200
27,South Carolina,784,236,263,297,315
28,District of Columbia,554,7,7,7,5
29,Kansas,280,47,68,92,103
30,Missouri,1044,66,68,72,77
31,Vermont,56,0,0,0,0
32,Virginia,1816,71,65,66,65
33,Connecticut,4326,36,35,35,37
34,Iowa,719,44,64,81,92
35,Louisiana,3255,139,228,317,369
36,Ohio,2903,145,146,150,156
37,Michigan,6212,60,63,72,80
38,South Dakota,97,0,0,0,0
39,Arkansas,279,47,45,48,49
40,Delaware,510,14,14,15,17
41,Mississippi,1092,81,93,107,113
42,New Mexico,503,14,14,14,15
43,North Dakota,80,0,0,0,0
44,Wyoming,20,0,0,0,0
45,Alaska,14,0,0,0,0
46,Maine,105,9,14,14,14
47,Alabama,985,158,171,189,206
48,Idaho,92,24,42,59,67
49,Montana,22,0,0,0,2
50,Puerto Rico,153,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN
53,West Virginia,93,0,0,0,0
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
