,State,179,185,192,199,206,213,220,227,234
0,Washington,1447,52,70,75,80,82,84,86,86
1,Illinois,7488,-94,107,109,109,109,112,115,118
2,California,7715,489,862,949,1020,1061,1083,1084,1102
3,Arizona,2761,151,409,434,446,444,433,416,412
4,Massachusetts,8431,-83,37,31,28,24,22,21,21
5,Wisconsin,844,78,67,74,81,86,89,95,97
6,Texas,4012,308,933,1076,1167,1228,1270,1285,1279
7,Nebraska,301,19,15,16,15,15,14,14,13
8,Utah,243,83,52,55,54,53,49,46,45
9,Oregon,260,13,29,32,33,36,36,35,36
10,Florida,4982,767,1356,1515,1638,1683,1729,1677,1675
11,New York,32495,-109,76,69,64,62,60,58,57
12,Rhode Island,990,26,17,15,15,14,14,14,15
13,Georgia,3174,239,358,419,469,504,527,543,558
14,New Hampshire,398,19,9,7,7,4,4,2,2
15,North Carolina,1652,151,166,174,175,176,172,167,164
16,New Jersey,15706,-49,142,121,106,98,90,83,80
17,Colorado,1752,45,37,41,46,50,58,61,68
18,Maryland,3377,36,45,42,40,40,39,40,41
19,Nevada,647,39,99,120,139,155,168,179,192
20,Tennessee,843,109,173,200,218,230,238,245,249
21,Hawaii,24,-1,2,3,3,4,4,4,4
22,Indiana,2822,39,56,59,62,66,74,79,87
23,Kentucky,670,3,34,39,43,47,51,52,55
24,Minnesota,1581,83,48,50,52,53,55,56,55
25,Oklahoma,451,48,59,67,74,80,84,89,93
26,Pennsylvania,7022,109,117,110,103,101,100,99,103
27,South Carolina,1155,-7,191,216,229,237,242,243,243
28,District of Columbia,578,0,5,4,4,4,4,4,4
29,Kansas,309,44,42,49,55,61,67,72,77
30,Missouri,1136,63,65,72,78,81,85,88,90
31,Vermont,56,2,0,1,0,1,0,0,0
32,Virginia,2027,23,64,66,68,71,73,77,83
33,Connecticut,4396,15,12,10,8,8,6,5,5
34,Iowa,793,41,49,56,61,67,74,79,87
35,Louisiana,3543,41,180,207,228,237,242,252,257
36,Ohio,3174,211,168,167,161,157,153,150,148
37,Michigan,6366,6,58,63,67,71,74,76,80
38,South Dakota,118,-7,5,5,5,5,5,4,4
39,Arkansas,357,56,60,63,66,67,68,69,69
40,Delaware,523,19,16,15,14,14,13,12,11
41,Mississippi,1355,113,136,139,136,130,123,114,107
42,New Mexico,571,29,31,31,31,31,30,30,30
43,North Dakota,92,4,6,7,10,10,12,13,14
44,Wyoming,25,3,3,3,4,5,5,6,6
45,Alaska,18,4,4,6,7,8,9,10,12
46,Maine,117,-2,2,2,2,1,1,1,0
47,Alabama,1287,49,145,160,171,180,188,192,196
48,Idaho,119,41,46,62,73,85,94,109,120
49,Montana,37,-4,10,12,16,19,23,27,33
50,Puerto Rico,178,17,15,17,17,19,18,19,21
51,Virgin Islands,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,100,9,11,14,16,21,23,27,32
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
