,State,190,199,206,213,220,227,234,241,248,255,262,269,276,283
0,Washington,1564,41,46,48,49,48,46,45,44,43,43,43,43,44
1,Illinois,7670,113,129,142,148,148,142,135,128,122,117,113,111,110
2,California,9026,1051,1041,1009,965,915,861,806,752,704,660,623,591,566
3,Arizona,3626,455,419,378,337,296,257,222,190,163,140,121,105,92
4,Massachusetts,8580,67,74,82,87,88,84,77,70,64,59,55,52,50
5,Wisconsin,919,55,63,69,70,70,69,67,65,64,63,63,63,64
6,Texas,7189,1242,1235,1184,1112,1027,936,845,757,678,607,546,493,449
7,Nebraska,328,16,16,15,15,14,13,13,12,12,11,11,11,11
8,Utah,300,40,42,42,42,41,41,40,39,39,38,38,38,39
9,Oregon,316,44,49,51,52,52,52,52,52,53,53,54,56,58
10,Florida,6586,1075,1046,976,888,793,698,607,525,453,391,339,296,261
11,New York,32672,109,112,112,106,97,86,76,67,59,53,49,45,43
12,Rhode Island,1007,15,16,16,15,14,12,11,10,9,8,8,7,7
13,Georgia,3671,337,342,331,310,287,262,237,215,194,176,160,147,136
14,New Hampshire,415,10,10,10,9,9,9,9,8,8,8,8,8,9
15,North Carolina,1922,161,163,162,159,155,151,146,142,138,135,133,132,132
16,New Jersey,15809,76,77,78,76,72,65,58,52,46,41,38,36,34
17,Colorado,1822,48,51,51,50,49,48,47,46,46,46,46,47,49
18,Maryland,3488,89,111,131,142,143,137,127,117,107,99,93,87,84
19,Nevada,801,94,94,90,86,80,75,69,63,58,54,50,46,44
20,Tennessee,1033,128,127,124,121,116,112,107,102,97,94,90,88,86
21,Hawaii,26,2,2,3,3,3,3,3,3,4,4,4,5,5
22,Indiana,2946,109,125,133,133,128,122,115,108,102,97,94,91,90
23,Kentucky,731,59,71,79,81,81,78,75,72,69,66,64,63,62
24,Minnesota,1634,42,47,52,54,55,53,51,49,47,45,44,43,43
25,Oklahoma,536,56,59,60,60,60,59,58,57,56,55,55,55,56
26,Pennsylvania,7194,113,132,149,159,161,158,152,147,142,138,136,136,137
27,South Carolina,1667,323,319,303,280,256,229,204,180,158,139,122,108,97
28,District of Columbia,584,4,5,5,5,5,5,4,4,4,3,3,3,3
29,Kansas,357,26,26,27,27,26,26,26,26,26,26,27,27,28
30,Missouri,1255,88,102,109,111,110,108,106,104,102,101,101,102,103
31,Vermont,57,0,0,0,1,1,1,1,1,1,1,1,2,2
32,Virginia,2141,63,76,88,96,99,97,95,91,88,86,85,84,84
33,Connecticut,4431,17,18,19,20,19,18,17,16,15,15,14,14,14
34,Iowa,865,51,55,55,54,51,49,46,43,41,39,38,36,36
35,Louisiana,3925,217,221,208,187,165,143,124,107,92,81,71,64,57
36,Ohio,3442,170,172,171,168,165,161,157,153,151,149,149,150,153
37,Michigan,6443,36,38,39,38,37,36,34,33,32,32,32,33,34
38,South Dakota,129,8,8,8,7,7,7,6,6,6,6,6,6,6
39,Arkansas,442,54,54,53,52,50,48,46,44,42,41,39,38,37
40,Delaware,581,7,7,8,7,7,7,6,6,6,5,5,5,5
41,Mississippi,1611,158,172,172,161,145,127,111,96,83,71,62,55,49
42,New Mexico,635,41,42,41,40,38,35,33,31,29,28,27,26,25
43,North Dakota,103,7,8,8,8,8,8,8,8,8,8,8,8,8
44,Wyoming,26,1,1,1,1,1,1,1,1,1,1,1,1,1
45,Alaska,23,4,5,5,6,6,6,6,6,6,6,7,7,8
46,Maine,122,2,2,3,3,3,3,3,4,4,4,4,4,5
47,Alabama,1565,207,207,198,183,166,148,131,115,101,89,79,70,63
48,Idaho,177,48,54,55,54,52,49,46,43,40,37,34,32,30
49,Montana,55,13,14,14,15,15,15,15,15,15,15,15,16,16
50,Puerto Rico,214,33,41,45,48,48,48,47,47,46,46,46,47,48
51,Virgin Islands,8,0,0,1,1,1,1,1,1,1,1,1,1,1
52,Guam,5,0,0,0,0,0,0,0,0,0,0,0,0,0
53,West Virginia,112,6,6,7,7,7,7,7,7,8,8,9,9,10
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
