,State,221,227,234,241,248,255,262,269,276,283
0,Washington,1905,78,75,73,70,68,67,67,68,71
1,Illinois,8228,142,136,128,120,113,107,103,101,101
2,California,12937,816,755,694,638,589,548,515,490,474
3,Arizona,5030,210,172,140,115,94,78,65,55,48
4,Massachusetts,9049,95,89,82,74,67,62,58,55,53
5,Wisconsin,1122,47,46,45,45,44,44,45,47,49
6,Texas,12683,997,886,779,682,596,522,460,408,366
7,Nebraska,392,16,15,15,14,13,13,13,13,13
8,Utah,407,24,23,22,21,20,19,19,19,20
9,Oregon,458,32,32,31,31,31,32,33,34,36
10,Florida,11119,691,574,473,390,322,267,224,190,163
11,New York,32909,33,29,25,22,19,17,15,14,13
12,Rhode Island,1046,9,8,8,7,7,6,6,6,5
13,Georgia,5604,378,336,295,257,224,196,173,153,138
14,New Hampshire,432,5,4,4,4,3,3,3,3,3
15,North Carolina,2692,157,149,141,134,127,122,118,116,116
16,New Jersey,15937,23,20,17,15,13,11,10,9,8
17,Colorado,1942,25,24,23,22,21,20,20,20,21
18,Maryland,3752,57,54,51,47,44,42,41,40,40
19,Nevada,1302,102,92,83,74,66,59,53,48,44
20,Tennessee,1747,146,139,131,123,116,110,104,100,97
21,Hawaii,63,14,15,14,14,13,12,12,11,11
22,Indiana,3291,101,96,91,86,82,78,76,75,75
23,Kentucky,929,48,47,46,45,44,43,43,44,46
24,Minnesota,1865,57,55,52,49,46,44,43,43,43
25,Oklahoma,799,61,59,58,56,55,54,53,54,55
26,Pennsylvania,7658,99,94,90,85,82,80,78,79,80
27,South Carolina,2709,192,170,150,131,115,102,90,81,73
28,District of Columbia,606,6,5,5,4,4,3,3,3,3
29,Kansas,449,23,22,22,21,21,21,21,21,22
30,Missouri,1533,64,63,61,60,59,59,60,62,65
31,Vermont,58,1,1,1,1,1,1,1,1,1
32,Virginia,2569,76,73,70,67,65,63,63,63,64
33,Connecticut,4465,9,8,7,7,6,6,6,6,6
34,Iowa,1113,66,64,61,57,53,50,48,46,44
35,Louisiana,4931,187,159,133,111,93,78,67,58,51
36,Ohio,4129,125,114,103,94,87,81,76,73,72
37,Michigan,6748,60,57,55,52,50,49,49,49,50
38,South Dakota,167,9,8,8,8,7,7,7,7,7
39,Arkansas,784,71,67,63,58,55,51,49,46,45
40,Delaware,604,8,8,7,7,6,6,6,6,6
41,Mississippi,2441,151,131,112,95,80,68,58,50,43
42,New Mexico,770,30,29,28,27,26,26,26,26,26
43,North Dakota,142,10,11,11,11,11,10,10,10,10
44,Wyoming,37,2,2,2,2,2,2,2,2,2
45,Alaska,37,3,3,3,3,3,4,4,4,5
46,Maine,132,2,2,2,1,1,1,1,2,2
47,Alabama,2162,110,100,90,81,73,66,60,56,52
48,Idaho,359,39,37,35,33,31,30,28,27,26
49,Montana,104,11,11,11,11,11,11,11,12,13
50,Puerto Rico,434,52,50,49,47,46,45,45,45,46
51,Virgin Islands,14,3,3,3,3,3,3,2,2,2
52,Guam,10,3,4,4,4,4,4,4,4,3
53,West Virginia,214,25,25,25,25,25,25,25,26,27
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
