,State,205,213,220,227,234,241,248,255,262,269,276,283
0,Washington,1755,96,100,101,99,97,95,94,94,94,96,100
1,Illinois,7932,152,164,168,165,159,152,146,141,138,137,137
2,California,11148,894,860,819,775,730,686,647,612,584,562,546
3,Arizona,4423,365,327,289,254,220,191,165,144,126,112,101
4,Massachusetts,8810,109,116,117,112,104,96,88,82,77,74,72
5,Wisconsin,1025,52,54,54,54,53,53,53,54,56,58,61
6,Texas,10078,1303,1191,1073,954,838,732,637,556,487,430,383
7,Nebraska,361,17,17,17,16,15,15,14,14,14,14,14
8,Utah,360,30,30,29,29,28,28,27,27,27,28,29
9,Oregon,385,39,39,40,40,40,41,41,42,44,46,49
10,Florida,9141,1096,1009,910,809,711,620,540,471,413,365,326
11,New York,32798,65,58,51,44,38,33,29,25,23,21,20
12,Rhode Island,1021,10,10,10,10,9,8,8,7,7,7,7
13,Georgia,4573,437,420,388,349,310,272,239,211,187,168,152
14,New Hampshire,423,9,9,8,8,8,7,7,7,7,7,8
15,North Carolina,2313,170,165,160,154,147,142,137,133,131,130,131
16,New Jersey,15903,50,47,43,38,34,29,26,23,21,19,18
17,Colorado,1888,44,44,43,41,40,39,39,39,39,40,42
18,Maryland,3631,92,99,101,98,93,87,82,78,74,72,72
19,Nevada,1045,116,111,104,95,87,79,71,64,59,54,50
20,Tennessee,1326,133,130,125,120,114,109,104,100,97,95,94
21,Hawaii,40,14,18,21,22,22,23,23,23,24,25,26
22,Indiana,3113,106,110,110,107,103,98,94,92,90,89,90
23,Kentucky,804,41,41,41,41,40,40,40,40,41,43,45
24,Minnesota,1739,56,57,57,55,52,50,48,46,46,45,46
25,Oklahoma,644,52,52,52,52,52,51,51,52,53,55,57
26,Pennsylvania,7434,109,110,108,105,100,96,93,92,91,93,96
27,South Carolina,2204,251,232,212,192,172,154,137,123,110,100,91
28,District of Columbia,594,6,6,6,5,5,4,4,4,4,3,3
29,Kansas,404,27,27,27,27,27,27,27,27,27,28,30
30,Missouri,1365,63,64,63,63,63,63,64,65,67,70,75
31,Vermont,58,0,1,1,1,1,1,1,1,1,1,2
32,Virginia,2370,128,136,138,135,130,125,120,116,113,111,111
33,Connecticut,4453,13,13,12,11,11,10,10,9,9,9,10
34,Iowa,970,51,50,48,47,45,43,41,40,39,39,39
35,Louisiana,4430,209,188,166,145,126,109,94,82,73,65,59
36,Ohio,3784,159,157,154,151,149,146,145,144,146,149,154
37,Michigan,6566,65,68,68,66,64,63,62,62,63,65,68
38,South Dakota,150,8,8,7,7,7,6,6,6,6,6,6
39,Arkansas,587,64,63,61,58,55,52,50,47,45,44,43
40,Delaware,593,8,8,8,7,7,6,6,6,6,6,6
41,Mississippi,2043,183,167,149,131,114,98,84,72,62,54,48
42,New Mexico,703,33,32,31,30,29,29,28,28,27,28,28
43,North Dakota,121,9,9,9,9,9,9,9,9,9,9,10
44,Wyoming,30,1,1,1,1,1,1,1,1,2,2,2
45,Alaska,27,2,2,2,2,3,3,3,3,3,3,4
46,Maine,126,2,2,2,2,2,2,2,2,2,2,3
47,Alabama,1893,153,142,131,120,109,99,90,82,75,70,65
48,Idaho,265,39,38,36,35,33,32,30,29,28,27,27
49,Montana,81,13,13,13,13,14,14,14,15,16,17,18
50,Puerto Rico,317,60,65,67,67,66,65,63,63,62,62,63
51,Virgin Islands,9,0,0,0,0,0,0,0,0,0,1,1
52,Guam,5,0,0,0,0,0,0,0,0,0,0,0
53,West Virginia,157,24,25,26,27,27,27,27,28,28,30,31
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
