,State,179,185,192,199,206
0,Washington,1447,42,43,40,37
1,Illinois,7488,151,119,95,73
2,California,7715,769,612,473,381
3,Arizona,2761,428,356,268,204
4,Massachusetts,8431,86,64,44,29
5,Wisconsin,844,55,54,47,43
6,Texas,4679,860,786,695,622
7,Nebraska,301,14,9,7,4
8,Utah,243,24,21,15,14
9,Oregon,260,7,7,0,0
10,Florida,4982,1092,1013,938,895
11,New York,32516,131,96,72,51
12,Rhode Island,990,20,15,14,8
13,Georgia,3174,201,169,133,111
14,New Hampshire,398,0,0,0,0
15,North Carolina,1652,165,139,114,91
16,New Jersey,15706,61,37,21,12
17,Colorado,1752,36,27,18,12
18,Maryland,3377,93,78,62,52
19,Nevada,647,63,63,67,68
20,Tennessee,843,157,155,141,139
21,Hawaii,24,0,0,0,0
22,Indiana,2822,45,40,33,28
23,Kentucky,670,20,21,21,21
24,Minnesota,1581,47,37,25,14
25,Oklahoma,451,49,49,42,40
26,Pennsylvania,7022,92,67,46,32
27,South Carolina,1155,162,126,98,75
28,District of Columbia,578,10,7,6,2
29,Kansas,309,33,28,21,21
30,Missouri,1136,70,63,56,50
31,Vermont,56,0,0,0,0
32,Virginia,2027,36,31,24,18
33,Connecticut,4396,21,15,9,4
34,Iowa,793,40,33,24,19
35,Louisiana,3543,117,81,46,25
36,Ohio,3174,144,121,93,78
37,Michigan,6366,82,74,66,55
38,South Dakota,118,0,0,0,0
39,Arkansas,357,56,51,44,39
40,Delaware,523,7,7,1,0
41,Mississippi,1355,42,38,35,30
42,New Mexico,571,18,13,10,7
43,North Dakota,92,0,0,0,0
44,Wyoming,25,0,0,0,0
45,Alaska,18,0,0,0,0
46,Maine,117,0,0,0,0
47,Alabama,1287,163,144,123,107
48,Idaho,119,15,14,14,14
49,Montana,37,0,0,0,0
50,Puerto Rico,178,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN
53,West Virginia,100,0,0,0,0
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
