,State,151,157,164,171,178
0,Washington,1270,12,16,19,21
1,Illinois,6647,17,11,9,8
2,California,5515,79,83,89,88
3,Arizona,1349,98,178,246,302
4,Massachusetts,7858,16,10,6,5
5,Wisconsin,744,9,10,10,11
6,Texas,2368,102,207,308,361
7,Nebraska,244,4,3,2,2
8,Utah,158,11,16,22,25
9,Oregon,190,2,5,6,8
10,Florida,3161,120,222,317,370
11,New York,31854,31,30,30,28
12,Rhode Island,894,3,2,2,2
13,Georgia,2643,27,34,43,46
14,New Hampshire,339,2,2,3,3
15,North Carolina,1245,64,118,157,189
16,New Jersey,14802,19,16,13,13
17,Colorado,1647,6,6,6,6
18,Maryland,3066,17,13,10,9
19,Nevada,487,10,17,24,31
20,Tennessee,526,23,35,47,49
21,Hawaii,17,1,4,7,9
22,Indiana,2540,13,14,14,15
23,Kentucky,526,4,5,7,8
24,Minnesota,1412,12,9,10,10
25,Oklahoma,369,9,19,29,34
26,Pennsylvania,6423,24,24,27,26
27,South Carolina,653,32,56,78,86
28,District of Columbia,533,2,2,1,1
29,Kansas,257,3,4,7,9
30,Missouri,975,9,16,25,29
31,Vermont,56,0,0,0,0
32,Virginia,1611,20,21,22,25
33,Connecticut,4260,8,5,3,3
34,Iowa,686,7,13,15,19
35,Louisiana,3105,15,27,34,42
36,Ohio,2700,20,32,38,44
37,Michigan,6090,12,11,10,10
38,South Dakota,81,1,2,2,2
39,Arkansas,225,16,35,50,61
40,Delaware,435,2,1,1,1
41,Mississippi,938,7,7,8,9
42,New Mexico,469,2,2,2,2
43,North Dakota,77,0,0,0,0
44,Wyoming,20,0,0,0,0
45,Alaska,12,0,0,0,0
46,Maine,102,0,0,0,0
47,Alabama,839,26,39,51,59
48,Idaho,89,0,0,0,0
49,Montana,20,0,0,0,0
50,Puerto Rico,149,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN
53,West Virginia,89,0,0,1,1
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
