,State,197,206,213,220,227,234,241,248,255,262,269,276,283
0,Washington,1653,85,95,99,100,98,96,93,91,90,89,90,91
1,Illinois,7791,143,163,175,178,175,167,159,152,146,141,138,136
2,California,10021,897,875,843,804,762,719,677,638,604,575,551,531
3,Arizona,4002,422,381,339,298,259,223,192,164,141,122,106,93
4,Massachusetts,8691,94,106,113,115,110,103,95,88,82,78,74,72
5,Wisconsin,978,61,66,69,69,69,68,67,67,67,67,68,70
6,Texas,8569,1372,1323,1236,1131,1018,905,798,701,615,540,476,422
7,Nebraska,340,18,18,17,17,16,16,15,14,14,14,14,14
8,Utah,330,39,39,39,38,37,37,36,36,35,35,35,36
9,Oregon,339,37,38,38,39,39,39,40,40,41,43,44,47
10,Florida,7747,1167,1093,993,882,771,665,569,485,414,355,305,265
11,New York,32741,75,71,65,58,50,44,38,33,29,26,24,22
12,Rhode Island,1014,9,10,10,10,10,9,8,8,7,7,7,6
13,Georgia,4026,328,316,297,274,251,228,206,187,170,156,144,134
14,New Hampshire,419,13,13,12,12,12,12,12,12,12,12,12,13
15,North Carolina,2126,164,162,159,155,151,146,142,138,135,134,133,133
16,New Jersey,15849,78,83,85,83,77,68,60,53,47,42,39,36
17,Colorado,1852,57,59,60,59,58,57,56,55,55,55,56,58
18,Maryland,3551,95,112,123,126,123,115,107,99,92,86,82,78
19,Nevada,900,104,101,96,89,83,76,70,64,58,53,49,46
20,Tennessee,1186,126,123,119,114,109,104,99,94,90,87,84,82
21,Hawaii,29,3,3,4,4,4,5,5,5,5,6,6,7
22,Indiana,3013,98,109,114,114,110,105,100,96,92,89,87,87
23,Kentucky,760,44,46,47,46,46,45,44,44,43,44,44,46
24,Minnesota,1677,51,54,55,54,53,50,48,46,44,43,43,43
25,Oklahoma,593,57,57,58,57,57,56,56,55,55,56,57,58
26,Pennsylvania,7282,97,102,103,101,98,93,90,87,85,84,84,86
27,South Carolina,1942,282,268,250,230,210,189,169,151,135,121,109,99
28,District of Columbia,587,5,6,6,6,5,5,4,4,4,3,3,3
29,Kansas,378,28,28,28,28,28,28,27,27,27,28,28,29
30,Missouri,1302,76,79,81,81,80,79,79,79,79,81,83,86
31,Vermont,58,0,1,1,1,1,1,1,1,1,1,2,2
32,Virginia,2299,123,152,172,180,178,171,161,151,142,135,129,124
33,Connecticut,4437,17,18,18,18,17,16,15,14,13,13,13,12
34,Iowa,912,50,51,50,49,47,44,42,41,39,38,37,37
35,Louisiana,4146,205,188,169,149,130,113,98,85,75,66,59,54
36,Ohio,3618,167,166,163,161,158,154,152,150,148,148,150,153
37,Michigan,6506,58,64,67,67,66,64,63,62,62,62,63,66
38,South Dakota,141,8,8,7,7,7,6,6,6,6,6,5,6
39,Arkansas,515,66,65,63,61,58,56,53,50,48,45,44,42
40,Delaware,587,7,7,7,7,7,6,6,6,6,5,5,5
41,Mississippi,1825,228,221,201,177,152,128,107,89,75,63,53,45
42,New Mexico,669,40,40,39,38,37,36,35,34,33,33,32,32
43,North Dakota,109,7,8,8,8,8,8,8,8,8,8,8,8
44,Wyoming,27,1,1,1,1,1,1,1,1,1,1,1,1
45,Alaska,25,3,3,3,3,4,4,4,4,4,4,5,5
46,Maine,124,3,4,4,5,5,5,6,6,6,6,7,8
47,Alabama,1714,164,156,145,133,121,109,99,89,80,73,67,61
48,Idaho,223,55,57,56,53,50,47,43,40,37,34,32,30
49,Montana,65,12,12,12,13,13,13,13,14,14,15,16,17
50,Puerto Rico,258,41,44,45,46,46,46,45,45,46,46,47,48
51,Virgin Islands,9,0,0,0,0,0,0,0,0,0,0,0,1
52,Guam,5,0,0,0,0,0,0,0,0,0,0,0,0
53,West Virginia,124,14,16,17,18,18,18,19,19,19,20,21,22
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
