,State,165,171,178,185,192
0,Washington,1359,57,61,71,81
1,Illinois,7020,199,246,326,382
2,California,6373,846,953,1130,1197
3,Arizona,1825,471,666,927,1101
4,Massachusetts,8183,100,99,115,123
5,Wisconsin,796,78,92,113,125
6,Texas,3000,659,758,924,1037
7,Nebraska,284,17,14,13,11
8,Utah,184,51,43,42,39
9,Oregon,215,23,25,26,29
10,Florida,3731,1113,1366,1740,1990
11,New York,32244,223,215,238,261
12,Rhode Island,960,36,77,137,179
13,Georgia,2860,358,464,614,723
14,New Hampshire,381,7,4,0,0
15,North Carolina,1423,266,261,280,299
16,New Jersey,15211,184,147,126,122
17,Colorado,1701,28,23,24,27
18,Maryland,3243,92,117,176,213
19,Nevada,534,86,117,144,172
20,Tennessee,645,178,227,318,364
21,Hawaii,19,0,0,0,1
22,Indiana,2693,61,61,70,81
23,Kentucky,585,20,17,21,20
24,Minnesota,1508,68,61,69,69
25,Oklahoma,398,34,33,36,39
26,Pennsylvania,6753,167,176,231,266
27,South Carolina,820,259,274,304,328
28,District of Columbia,559,7,7,7,7
29,Kansas,284,29,18,12,7
30,Missouri,1051,68,59,62,64
31,Vermont,56,0,0,0,0
32,Virginia,1853,78,73,78,85
33,Connecticut,4335,36,34,31,29
34,Iowa,721,46,54,70,81
35,Louisiana,3288,165,230,326,391
36,Ohio,2911,223,314,462,566
37,Michigan,6218,81,104,151,194
38,South Dakota,97,0,0,3,5
39,Arkansas,287,50,45,44,44
40,Delaware,512,26,38,53,62
41,Mississippi,1111,112,113,128,136
42,New Mexico,513,15,19,21,21
43,North Dakota,80,0,1,6,7
44,Wyoming,20,0,0,0,0
45,Alaska,16,0,0,4,7
46,Maine,109,11,14,16,19
47,Alabama,1007,201,231,297,347
48,Idaho,93,23,42,62,77
49,Montana,23,0,0,0,4
50,Puerto Rico,155,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN
53,West Virginia,94,0,1,6,7
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
