,State,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
0,Washington,456,25,24,23,24,23,22,22,21,20,19,18,17,16,15
1,Illinois,528,-31,38,35,32,29,26,23,19,16,14,11,9,7,5
2,California,544,60,61,64,64,66,65,65,64,61,59,56,52,48,44
3,Arizona,98,3,13,16,16,18,19,20,22,23,23,25,25,26,27
4,Massachusetts,503,98,100,108,119,127,137,146,154,162,170,176,182,187,192
5,Wisconsin,111,15,16,17,17,16,17,16,15,15,14,13,12,10,9
6,Texas,210,32,36,39,42,44,47,49,51,53,55,57,59,61,63
7,Nebraska,14,2,2,3,3,3,3,4,5,4,5,5,6,5,7
8,Utah,13,2,3,3,2,4,3,3,4,4,4,5,4,5,5
9,Oregon,44,1,3,3,3,3,4,4,3,4,5,4,4,5,4
10,Florida,354,58,63,68,73,78,82,87,91,94,99,101,105,107,108
11,New York,10778,-2940,719,683,637,583,523,462,400,339,284,232,187,148,114
12,Rhode Island,43,10,13,14,16,16,18,19,21,21,23,24,24,26,26
13,Georgia,379,63,53,56,60,64,68,72,75,78,82,84,86,89,91
14,New Hampshire,21,1,2,2,3,2,3,3,3,2,3,2,2,2,1
15,North Carolina,76,15,16,18,19,19,21,21,21,21,20,19,18,17,15
16,New Jersey,1709,229,221,217,210,198,183,166,148,128,110,91,75,60,47
17,Colorado,226,-4,23,23,23,22,21,21,19,18,18,15,15,13,12
18,Maryland,138,24,25,27,28,29,30,29,29,28,27,25,23,21,19
19,Nevada,81,10,8,8,9,8,9,8,8,9,8,7,8,7,6
20,Tennessee,94,14,16,17,18,20,21,22,22,23,23,24,23,23,23
21,Hawaii,6,3,4,4,4,5,5,5,6,5,6,5,5,4,4
22,Indiana,245,23,25,26,25,26,25,24,24,21,20,19,16,15,13
23,Kentucky,73,15,16,17,19,20,21,22,23,24,26,26,27,27,28
24,Minnesota,50,4,7,7,7,8,9,9,9,10,11,10,11,11,12
25,Oklahoma,80,14,13,14,15,16,18,18,19,21,21,22,24,23,25
26,Pennsylvania,345,59,52,56,58,61,62,64,63,63,61,59,57,53,50
27,South Carolina,67,5,8,8,9,10,10,11,12,12,12,13,14,13,15
28,District of Columbia,32,3,2,2,2,3,2,1,2,2,2,2,2,2,1
29,Kansas,42,5,6,6,7,8,8,9,9,10,11,10,11,12,11
30,Missouri,123,-13,17,18,20,21,24,24,26,28,29,31,32,33,34
31,Vermont,23,1,2,1,2,1,1,1,2,1,1,1,1,1,1
32,Virginia,109,10,12,13,14,15,16,16,18,18,19,19,20,20,21
33,Connecticut,380,70,74,82,89,97,105,112,118,125,131,135,139,142,145
34,Iowa,29,6,6,8,8,9,11,11,12,14,14,16,17,17,19
35,Louisiana,702,51,44,40,37,34,30,27,25,21,19,16,14,12,10
36,Ohio,213,25,24,23,23,22,21,20,18,17,14,13,11,10,8
37,Michigan,1164,22,97,91,83,76,68,61,54,46,40,34,28,24,20
38,South Dakota,6,3,2,3,4,4,5,5,6,6,7,8,8,9,10
39,Arkansas,21,1,3,2,3,3,3,4,3,4,4,5,4,4,5
40,Delaware,23,1,1,1,2,1,2,1,1,2,1,1,1,1,1
41,Mississippi,76,10,11,12,13,13,14,15,15,15,15,14,15,14,14
42,New Mexico,16,2,3,3,3,4,5,4,5,5,5,5,6,6,5
43,North Dakota,5,3,5,5,5,6,6,7,7,7,8,9,9,9,9
44,Wyoming,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
45,Alaska,7,1,1,1,1,1,2,2,1,2,1,2,2,1,2
46,Maine,16,1,2,2,2,2,3,2,2,2,2,3,2,2,2
47,Alabama,70,12,11,11,13,13,15,14,15,16,15,16,16,15,16
48,Idaho,18,1,1,2,1,2,2,2,2,2,2,3,2,2,2
49,Montana,6,1,1,1,1,1,2,2,2,2,2,2,3,2,2
50,Puerto Rico,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,5,4,4,5,5,5,5,5,5,4,3,3,3,3,2
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
