,State,172,178,185,192,199
0,Washington,1438,24,14,9,3
1,Illinois,7388,157,143,135,126
2,California,7051,899,879,848,827
3,Arizona,2237,332,287,235,200
4,Massachusetts,8325,92,72,49,36
5,Wisconsin,820,59,61,63,66
6,Texas,3739,622,657,675,704
7,Nebraska,285,13,14,14,15
8,Utah,215,51,56,55,55
9,Oregon,234,13,7,7,7
10,Florida,4242,869,874,883,885
11,New York,32395,218,178,145,129
12,Rhode Island,976,7,0,0,0
13,Georgia,3003,262,253,246,226
14,New Hampshire,391,7,1,0,0
15,North Carolina,1522,171,162,150,143
16,New Jersey,15525,178,130,90,67
17,Colorado,1725,68,68,69,66
18,Maryland,3319,77,64,51,44
19,Nevada,593,61,57,50,46
20,Tennessee,741,121,112,100,96
21,Hawaii,19,0,0,2,1
22,Indiana,2760,49,54,60,62
23,Kentucky,625,16,16,16,17
24,Minnesota,1540,61,65,74,82
25,Oklahoma,422,33,33,32,33
26,Pennsylvania,6904,124,103,94,82
27,South Carolina,961,174,154,139,129
28,District of Columbia,568,11,8,7,7
29,Kansas,297,37,34,29,29
30,Missouri,1092,52,49,45,49
31,Vermont,56,0,0,0,0
32,Virginia,1966,58,60,61,64
33,Connecticut,4348,19,11,7,1
34,Iowa,752,42,38,40,38
35,Louisiana,3416,118,131,134,140
36,Ohio,3058,158,139,124,116
37,Michigan,6314,67,65,55,55
38,South Dakota,109,0,0,0,0
39,Arkansas,321,37,33,26,22
40,Delaware,517,12,7,3,0
41,Mississippi,1249,49,38,25,16
42,New Mexico,545,17,14,8,7
43,North Dakota,87,7,7,7,6
44,Wyoming,21,0,0,0,0
45,Alaska,17,0,0,0,0
46,Maine,114,0,0,0,0
47,Alabama,1121,130,120,107,94
48,Idaho,102,15,17,21,21
49,Montana,29,7,10,15,18
50,Puerto Rico,167,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN
53,West Virginia,96,6,11,19,21
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
