location,race_ethnicity,age,percent,total_population
06,latino,0-17,0.118372,39346023
06,white,0-17,0.052357,39346023
06,asian,0-17,0.027772,39346023
06,black,0-17,0.010244,39346023
06,other,0-17,0.018894,39346023
06,latino,18-64,0.241126,39346023
06,white,18-64,0.236995,39346023
06,asian,18-64,0.093827,39346023
06,black,18-64,0.037033,39346023
06,other,18-64,0.020067,39346023
06,latino,65+,0.031417,39346023
06,white,65+,0.075746,39346023
06,asian,65+,0.024388,39346023
06,black,65+,0.007173,39346023
06,other,65+,0.004591,39346023
37,white,0-17,0.135969,10698973
37,asian,0-17,0.007744,10698973
37,black,0-17,0.050491,10698973
37,other,0-17,0.021305,10698973
37,white,18-64,0.430061,10698973
37,asian,18-64,0.024131,10698973
37,black,18-64,0.133312,10698973
37,other,18-64,0.028514,10698973
37,white,65+,0.133323,10698973
37,asian,65+,0.003217,10698973
37,black,65+,0.027647,10698973
37,other,65+,0.004377,10698973
